"line id verse number","arabic text","english translation text"
"","BETA HAI TU ALI KA","YOU ARE THE SON OF ALI"
"","ABBAS, ABBAS, ABBAS","ABBAS, ABBAS, ABBAS"
"","BETA HAI TU ALI KA, ZAHRA KI TU DUA HAI SHABBIR TERA AAKA, UMMUL BANEEN MAA HAI","YOU ARE THE SON OF ALI, ANSWER TO ZAHRA’S PRAYERS\nSHABBIR IS YOUR MASTER, YOUR MOTHER IS UMMUL BANEEN"
"","HAR SURATO CHALAN MAI HAIDER SE NA JUDA HAI TA HASHR TUJ SE KAAYAM DUNYA MAIN BAS WAFA HAI","YOU RESEMBLE ALI IN YOUR LOOKS AND PERSONALITY\nTILL THE DAY OF JUDGEMENT, LOYALTY EXISTS BECAUSE OF YOU"
"","TERE ALAM KO THAAME, HAR SHAKS KEH RAHA HAI MAZLOOME KERBALA KA, ZAINAB KA WAASTA HAI","HOLDING ON TO YOUR BANNER, EVERY PERSON PLEADS FOR THE SAKE OF IMAM HUSAYN AND BIBI ZAINAB"
"","PARDESI KOYI AYSA, PARDES ME NA UJDE SADKE MEI USKE JIS KA, GHAR BAAR LUTGAYA HAI","MAY NO TRAVELLER EVER SUFFER THE WAY YOU SUFFERED FOR THE SAKE OF THOSE WHO LOST EVERYTHING IN THE DESERT"
"","US WAKT JABKE ZAINAB, DARBAAR MEI GAYI THI QARI NAMAZIO SEY, MEHFIL SAJI HUWI THI","THAT TRAUMATIC TIME WHEN ZAINAB WAS TAKEN TO COURT\nWHICH WAS FULL OF QURAN RECITORS AND WORSHIPPERS"
"","ZAALIM YEH PUCHTA THA, GHAZI TERA KAHA HAI BAALO SE MUH CHUPAAYE, ZAINAB YEH KEH RAHI THI","THE OPPRESSORS WERE TAUNTING WHERE IS YOUR ABBAS? ZAINAB COVERED HER FACE WITH HER HAIR AND CRIED"
"","TAQDEER KE SATAYE, TERE DAR PE SAR JHUKAYE ASHKO KI ILTIJA HAM, GHAAZI TUJE SUNAYE","SUFFERING FROM BAD LUCK, WE BOW OUR HEADS ON YOUR DOORSTEP TEARFULLY WE IMPLORE YOU, PLEASE LISTEN TO OUR WOES"
"","BEEMARE SAARIBAAN KE, ZAKHMO KA WAASTA HAI JITNE BHI KHASTA DIL HAI, MOWLA SHIFA WO PAAYE","FOR THE SAKE OF SUFFERING AND INJURIES OF IMAM SAJJAD PLEASE CURE ALL THE SUFFERINGS AND ILLNESSES"
"","DIL KI MURAAD GAZI, TERE ALAM SE PAAEY ROTI HUWI JO MAAEN, TERE ALAM PE AAEY","WE WILL GET OUR HEARTS DESIRES BY THE SAKE OF YOUR BANNER THOSE HEARTBROKEN MOTHERS THAT COME TO YOUR BANNER"
"","ZAHRA KE DARD PEHLU KA, DETI HAI WAASTA FIZZA KI KANEEZI MEI, MERA BHI NAAM AAEY","THEY ASK YOU FOR THE SAKE OF ZAHRA’S BROKEN RIBS PLEASE ACCEPT US AS MAIDS OF BIBI FIZZA"
"","SHAAME GHARIBAN MEI JIS, KA KURTA JALGAYA HAI, KAANO SE BAALIYA BHI, HAAYE SHIMR LEGAYA HAI","ON SHAME GARIBAAN WHOSE ABA GOT BURNT\nAND SHIMR SNATCHED THE EARINGS"
"","IS BEBASI SE MAWLA, BACCHI KOI NA TARSE FARSH-E-AZA PE ROKAR, HAR DIL YEH KEHRAHA HAI","MAY NO LITTLE GIRL SUFFER IN THAT WAY ON THIS FLOOR OF MAJLIS EVERY HEART CRIES AND SAYS"
"","JITNE BHI ASHK MAULA, QIRTAAS PAR GIRE HAI MASUMA KI KASAM HI, GHAZI FAKAT TERE HAI","MAULA WHATEVER TEARS HAVE FALLEN ON PAPER BY BIBI SAKINA, THEY ALL BELONG TO YOU"
"","WO KUCH RAKAM KARU MEI, JO NAA RAKAM HUWA HAI ALFAAZ WO ATAA KAR, 'YAWAR' SE JO PARE HAI","MAKE ME WRITE THAT WHICH HAS NOT BEEN WRITTEN BEFORE GIVE ME THE GIFT OF WORDS THAT YAWAR CAN READ"
