ID,Arabic,English
,يا ليل طوّل ساعاتك...يا ليل أحمل آهاتك,O night prolong your hours! O night I carry you pains!
,لو ودّعت الوليان...تتولاني العدوان,"Once I bid my guardians farewell
My enemies will capture me!"
,طول ياليل الوداع اشما تطول اوياك أساهر,Prolong yourself O night of the farewell! As long as you take I will remain awake
,ما أمل من البواجي حتى لو تعمه النواظر,I will continue to cry until I become blind
,احسين بس هالليلة يمي ما تشوفه اعيوني باجر,"This is my last night with Hussain
and tomorrow my eyes will no longer see him [after his killing]"
,صدقني يا ليل القهر...يا ريتك اطّول دهر,"Believe me O night of pain and disturbance
I wish you could be prolonged until the end of time [in this world]"
,خايفة من أشباح القدر...و أخاف أضل مكسوره خاطر,"I fear the shadows of the decree
And I fear I will always be heartbroken"
,ياليل إرحم دلالي...ياليل ضاعت آمالي,O night have mercy on my heart! O night my dreams have been shattered!
,آ يا دهري الخوان...تتولاني العدوان,"O the pain I feel from the treacherous [people of my] era
My enemies will capture me!"
,يا ليل طوّل ساعاتك...يا ليل أحمل آهاتك,O night prolong your hours! O night I carry you pains!
,لو ودّعت الوليان...تتولاني العدوان,"Once I bid my guardians farewell
My enemies will capture me!"
,آنه ياليل العقيله زينب المعروف خدري,"O night I am Al-Aqeelah
Zainab the one whose hijab is known"
,طولي ماواحد الشافه اولاستر يوصل الستري,"Never has a stranger seen my height
And there is no Hijab like mine!"
,لجن ياليل اشبدية سلمت للقدر أمري,"However O night what can I do?
I have left my affairs to Allah!"
,دمعاتي يبسن بالجفن...من يطر مصباح الحزن,"My tears have dried on my cheeks
When the lantern of sadness will be lighted"
,بطفال وبعيله أمتحن...والله ماينحمل صبري,"I will be tested with [the protection of] children and a family
I swear by Allah my patience cannot be withstood [by people]"
,ياليل كافي اتروعني...ياليل صبحك يفجعني,"O night! Enough! Stop terrifying me!
O night! The mourning that comes after you will devastate me"
,لونزلوا للميدان تتولاني العدوان,"If they go down to the battlefield
My enemies will capture me!"
