line id verse number,arabic text,english translation text
,AAJ RUKHSAT HORAHI HAI TUMSEY ZEHRA YA ALI\nAAJ RUKHSAT HORAHI HAI TUMSEY ZEHRA YA ALI,ZAHRA IS BIDDING YOU\nFAREWELL TODAY YOU O ALI
,KYA KAHOO DIL MEY KHAYAAL AATEY HAI KYA KYA YA ALI,WHAT SHOULD I SAY ABOUT THE THOUGHTS THAT ARE COMING TO ME O ALI?
,HA MADEENEY WAALO KO THA MERA RONA NAA GAWAAR,THE PEOPLE OF MADINA DISAPPROVED OF MY CRYING
,AAJ SE HOGA NA IN LOGO KO SHIKWA YA ALI,"FROM TODAY, THEY WILL NOT COMPLAIN TO YOU O ALI."
,DUSHMANO KO TUM NA AANEY DENA MERI LAASH PAR,DO NOT LET MY ENEMIES COME TO MY FUNERAL
,PARDA E SHAB MEY MERI MAYYAT UTHAANA YA ALI,CARRY MY COFFIN IN THE VEILS OF THE DARKNESS O ALI
,BAAD MEREY JAANEY KYA HO HAAL BACHO KA MERE,WHAT WILL BE THE STATE OF MY CHILDREN AFTER ME?
,UNKO EEZA HO TO HOGI MUJHKO EEZA YA ALI,ANYTHING THAT HURTS THEM WILL HURT ME O ALI.
,FAAQEY KARKEY AAFATO SE MY NEY PAALA HAI INHEY,I HAVE NURTURED THEM WITH GREAT DIFFICULTY
,TUM KHAYAAL INKA MERI KHAATIR SE RAKHNA YA ALI,"FOR MY SAKE, PLEASE TAKE CARE OF THEM DEARLY O ALI"
,JAANTEY HAI AAP YE NAAZO KA PAALA HAI HUSAIN,YOU KNOW THAT I HAVE BROUGHT UP HUSSAIN (AS) WITH GREAT CARE AND LOVE
,WO AGAR ROYE DILAASA ISKO DENA YA ALI,IF HE CRIES PLEASE CONSOLE HIM O ALI
,TUMKO ZEHMAT HOGI LEKIN MERI TASKEE'N KE LIYE,IT WILL BE HARD FOR YOU BUT FOR MY COMFORT
,MERI TURBAT PAR MEREY BACHO KO LAANA YA ALI,PLEASE BRING MY CHILDREN TO MY GRAVE O ALI
,REHGAYE APNAA KALEYJA THAAMKAR MAULA 'SAEED',"O SAEED (NAME OF POET), IMAM ALI STAYED STRONG ALTHOUGH HEARTBROKEN"
,BOLI ZEHRA JAB KHUDAA HAAFIZ TUMHAARA YA ALI,WHEN BIBI ZAHRA SAID KHUDA HAFIZ O ALI
