"line id verse number","arabic text","english translation text"
"","HAI JAAN AAB LABON PAR,BARCHI NA KHAINCHNA,","I AM BREATHING MY LAST, PLEASE DO NOT PULL OUT THE SPEAR (FROM MY CHEST)"
"","BOLEY PADAR SEY AKBAR BARCHI NA KHAINCHNA,","AKBAR REQUESTED HIS FATHER, 'PLEASE DO NOT PULL OUT THE SPEAR (FROM MY CHEST)'"
"","BABA NAZAR KO PHAIRLO DAM TOOTNEY LAGA,","O FATHER, PLEASE LOOK AWAY FROM HERE AS I BREATHE MY LAST…"
"","BARCHI KAY PHAL SEY KHOON HAI DIL KA RUKAHOWA,","THE BLOOD FROM MY HEART IS BLOCKED BY THE SPEAR"
"","UBLEYGA KHOON ZAMEEN PAR,","A FOUNTAIN OF BLOOD WILL SPILL TO THE GROUND…"
"","BARCHI NA KHAINCHNA,","PLEASE DO NOT PULL OUT THE SPEAR (FROM MY CHEST)"
"","MAINAY TUMHAIN BULAYA THA TAKEY MAIN KEHSAKON,","THE ONLY REASON I CALLED YOU HERE IS SO THAT I COULD TELL YOU…"
"","BILKUL NA GHAM KARO MEREY DIL KO HAI AB SUKOON,","DO NO GRIEVE, FOR MY HEART IS AT PEACE"
"","BETHEY RAHO YAHAN MAGAR,","DO SIT WITH ME HERE, BUT…"
"","AMMA KO YE KHABAR NAHO MERE SINA LAGI","DO NOT INFORM MOTHER THAT I WAS PIERCED BY A SPEAR"
"","GASH AAGAYA HAI BAS ZARA SHIDDAT THI PYAAS KI","TELL HER THAT I JUST FAINTED DUE TO EXTREME THIRST"
"","ME AARAHAHU JAAO GHAR","GO HOME, FOR I AM COMING BUT…"
"","BOLE HUSSEIN BAAP KO BEHLA RAHE HE AAP","HUSSAIN (A.S) SAID 'I KNOW YOU ARE TRYING TO SOOTHE YOUR FATHER…"
"","MALUM HAI KE YAHAAN SE KAHAAN JAARAHE HE AAP","FOR I KNOW VERY WELL WHERE YOU ARE GOING FROM HERE"
"","KEHTE HO MUU KO PHER KAR","WHY DO YOU TURN YOUR FACE AWAY FROM ME WHEN YOU SAY…?"
"","SANSAIN UKHAR RAHI HAIN TO MADHAM HAI NABZ BHI,","YOU ARE BREATHING YOUR LAST AND YOUR PULSE IS ABOUT TO STOP"
"","KARTEY HO AAH HAM KO HAI TAKEED SABAR KI,","WHILE YOU SIGH, I AM TRYING TO BE PATIENT"
"","KEHTEY HO THAM KE JIGAR,","YOU SAY THIS WHILE PLACING YOUR HAND ON YOUR CHEST…"
"","AKBAR PUKARE BAAP SE DILKO SAMBHALIE","AKBAR REQUESTED HIS FATHER TO HOLD HIS HEART"
"","TUTI SINA KALEJE ME REHNE HI DIJIYE","'LEAVE THE SPEAR IN MY CHEST, FOR IF YOU DON’T…"
"","NIKLEGA SAATH ME JIGAR","MY HEART WILL COME OUT WITH IT'"
"","MOLA NEY YA ALI KAHA DIL KO SAMBHAL KAR,","MOLA (A.S) GATHERED COURAGE AND CRIED OUT 'YA ALI'"
"","PHIR KHUD HI LARKHARAGAYE BARCHI NIKAL KAR,","THEN HE GOT NERVOUS AFTER REMOVING THE SPEAR"
"","KEHTA RAHA JAWAN PISAR,","WHILE HIS YOUNG SON KEPT SAYING…"
"","REHAN SAATH BARCHI KEY DIL BHI NIKALPARA,","HIS HEART CAME OUT ALONG WITH THE SPEAR"
"","KARTEY RAHEY HUSSAIN A.S BHI TADAIR MARSIA,","HUSSAIN (A.S) KEPT LAMENTING UNCONTROLLABLY"
"","MAA KEHTI AAI NANGEYSAR,","THE MOTHER RAN FROM THE TENTS SAYING…"
