Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Beneficent, the Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,يَا دَائِمَ الْفَضْلِ عَلَى الْبَرِيِّةِ,O the One who always bestows favor upon creation
,يَا بَاسِطَ الْيَدَيْنِ بِالْعَطِيَّةِ,O the One who extends His hands with gifts
,يَا صَاحِبَ الْمَوَاهِبِ السَّنِيَّةِ,O the Master of sublime grants
,صَلِّ عَلَى مُحَمِّدٍ وَ آلِهِ,Send blessings upon Muhammad and his family
,خَيْرِ الْوَرَىٰ سَجِيَّةً,The best of creation in character
,وَاغْفِرْ لَنَا يَا ذَا الْعُلَىٰ,"And forgive us, O the Most High"
,فِيْ هٰذِهِ الْعَشِيَّةِ,In this evening
,,
