line id verse number,arabic text,english translation text
,HAATHO ME LIYE KHAALI KUNZAA\nABBAS SAKINA ROTI HAI,"ABASS, SAKINA IS CRYING\nHOLDING AN EMPTY PITCHER"
,"AB TAK HAI NAZAR, SUWE DARYAA\nABBAS SAKINA ROTI HAI","ABBAS, SAKINA IS CRYING\nTILL THIS MOMENT HER SIGHT IS GAZED AT THE RIVER"
,DEKHO TO TARAI SE UTHKAR\nPATHRAAI HUI SEHMISI NAZAR,RISE FROM THE RIVER BANK AND SEE\nHER PETRIFIED AND FEARFUL LOOK
,BE AAS NA HOJAYE DUKHYAA\nABBAS SAKINA ROTI HAI,"ABBAS, SAKINA IS CRYING\nMAY THE BROKEN HEARTED CHILD NOT BECOME HOPELESS"
,TUM AYSE GHAYE JAAKAR NA FIRE\nITNA BHI NA SOCHA KYA HOGA,YOU WENT IN SUCH A MANNER THAT YOU NEVER TURNED BACK\nYOU DIDN’T EVEN THINK OF WHAT WOULD HAPPEN
,LE AAWO KHUDAARA MASHKIZA\nABBAS SAKINA ROTI HAI,"ABBAS, SAKINA IS CRYING FOR ALLAH'S\nSAKE, BRING THE WATER SKIN (MASHK)"
,TUM LAAYE NA BHAR KAR MASHKIZA\nNA AAP HI PALTE DARYAASE,YOU DIDN'T BRING THE FILLED WATERSKIN (MASHK)\nNEITHER DID YOU RETURN FROM THE RIVER
,"KYA KHUB NIBHAAYA, EHDE WAFAA\nABBAS SAKINA ROTI HAI","ABBAS, SAKINA IS CRYING\nHOW WELL YOU FULFILLED YOUR PROMISE"
,KHAAYE HAI TAMAACHE ZAALIM KE\nMAASOOM NE NANNE GHAALON PAR,SHE BORE THE SLAPS OF THE OPPRESSORS\nON HER INNOCENT SMALL CHEEKS
,IS NEEND SE CHONKO BARAYE KHUDA\nABBAS SAKINA ROTI HAI,"ABBAS, SAKINA IS CRYING\nWAKE UP FROM THIS SLEEP FOR THE SAKE OF ALLAH"
,AMMA HAI TARAPTI DEKHO CHACHA\nASGHAR KA JO HAAL NAHI DIKHTA,"LOOK UNCLE, MY MOTHER IS SO RESTLESS,\nSHE CAN NOT FIND ALI ASGHAR ANYWHERE"
,ITNAATO BATAADO TUM HO KAHAAN\nABBAS SAKINA ROTI HAI,"ABBAS, SAKINA IS CRYING\nJUST TELL ME WHERE YOU ARE"
,BAANDHE HAI KAMAR KO KYUN BABA\nHAATHON ME ALAM THAAME BABA,BABA IS HOLDING THE FLAG\nWHY HAS FATHER TIED HIS BACK
,KUCH KEHTE NAHI HAI DEKHO CHACHA\nABBAS SAKINA ROTI HAI,"ABBAS, SAKINA IS CRYING\nLOOK UNCLE, HE DOESN’T SAY ANYTHING"
,HILTI HAI ZAMEEN HILTAA HAI FALAK\nHAI HAASHIMI GHAM KI JINNO MALAK,"THE GROUND QUAKES, THE SKIES QUAKE\nTHE ANGELS AND JINN ARE MOURNING FOR THE HASHIMITES"
,HAI EHLE HARAM ME SHOR BARPA,THERE IS AN UPROAR IN THE HOLY HOUSEHOLD
