line id verse number,urdu transliteration text,english translation text
,"ASMANE MUJTABA KO JO HIRA PILA DIYA
Mujtaba (Imaam Hassan) was given poison
English Transliteration
@HujjatELC",
,"ASMANE MUJTABA KO JO HIRA PILA DIYA
HIRENE DIL HASSAN KA SERASER KETA DIYA
DERDE JIGER NE KHAWBSE JISDEM JEGA DIYA
BEHNO KO YEH PUKAR KE USMA SUNA DIYA
@HujjatELC
Imam Hasan Masrhia – from Masaib e Panjetan","Mujtaba (Imam Hassan a.s.) was given poison
The poison was so potent that it cut his liver into pieces
It woke him up from deep sleep
He called out to his sisters to let then know his last wishes"
,"KUCH AAJ KHUD BA KHUD MERA AHWAL TENG HAI
CHURIYA JIGAR ME CHALTI-HAI AUR SABZ RENG HAI
@HujjatELC
Imam Hasan Masrhia – from Masaib e Panjetan","He started by saying “Today all of a sudden my body is in a lot of pain”
“Knives are cutting through my liver - look the colour of my skin has changed”"
,"BEHNO KHUDA KE WASTE AWO MERI TARAF
BETAB DERD SE HUN MAY IBNE SHAAHE NAJAF
PARDE BHI KUT CHUKE HAY MERE DILKE SAF BE SAF
AFSOS HON CHUKI HAY MERI ZINDAGI TELEF
@HujjatELC
Imam Hasan Masrhia – from Masaib e Panjetan","“My sisters do come next here next to me”
I am in a lot of pain” said the son of Shahe Najaf (Imaam Ali)
“I am suffering a lot of pain as if my body is being cut piece by piece”"
,"MAY BE KELISE KARTA JO AHO FUGHA(n) HUN
MISLE CHIRAGE SUBHE MEY AB MEHMAN HUN
@HujjatELC
Imam Hasan Masrhia – from Masaib e Panjetan","“I can see my life is now coming to an end – it is short”
“The person before you is in a lot of pain”
“He is only your guest until tomorrow morning”"
,"BEHNO NE APNE BHAI KI JISDEM SUNI SEDA
HUJR-E SE ROTI PITTI DAWRI BEREHNA PA
JUHI KARIB AAYI TO WOH DEKHTI HAY KYA
BABAKI TARHAN BHAI HASSAN HAY TARAP RAHA
When Imam’s sisters heard his cry
@HujjatELC
Imam Hasan Masrhia – from Masaib e Panjetan","They ran out from their rooms and to him in great haste
When they reached him they saw it with their own eyes
Like is father once he was struck, Imam Hassan was suffering a lot"
,"KYA ZULM HOGAYA YE DUHAI RASULKI
BERBAD HON CHUKI HAY KAMAI BATUL KI
@HujjatELC
Imam Hasan Masrhia – from Masaib e Panjetan","The suffering being endured by the family of Rasul
There is being lost before us - the progeny of Batul 	(Bibi Fatema)"
,"EHWAL US TAREF THA HASSAN KA NIPAT TEBAH
ZAINAB UDHER TO ROTI THI BHAR BHAR KE SERDE AAH
HAZRAT HASSAN KI PAR GEI ZAINAB PE JO NIGHAH
AY BEHNA SABR KIJIYO BOLA WO DIN-PENAH
On one side Bibi Zainab was crying and sobbing
Imaam Hassan noticed that Bibi Zainab was crying
@HujjatELC
Imam Hasan Masrhia – from Masaib e Panjetan","Everyone’s focus was on Imaam Hassan as he was suffering
He turned to her and said,”My sister be patient"
,"EHWAL US TAREF THA HASSAN KA NIPAT TEBAH
ZAINAB UDHER TO ROTI THI BHAR BHAR KE SERDE AAH
HAZRAT HASSAN KI PAR GEI ZAINAB PE JO NIGHAH
AY BEHNA SABR KIJIYO BOLA WO DIN-PENAH
On one side Bibi Zainab was crying and sobbing
Imaam Hassan noticed that Bibi Zainab was crying
@HujjatELC
Imam Hasan Masrhia – from Masaib e Panjetan","Everyone’s focus was on Imaam Hassan as he was suffering
He turned to her and said,”My sister be patient"
,"NE PITO SER NE ASHKOSE BHERLAO NAE NEKO
JALDI KHABER KERO MERE BHAI HUSSEIN KO
Don’t cry or be sad now
@HujjatELC
Imam Hasan Masrhia – from Masaib e Panjetan",Just let my brother Hussein know what has just happened”
