Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللَّهُمَّ إِنَّكَ دَعَوْتَنَا إِلَى سَبِيلِ طَاعَتِكَ وَ طَاعَةِ نَبِيِّكَ وَ وَصِيِّهِ وَ عِتْرَتِهِ,"O Allah, You have called us to the path of obedience to You, and obedience to Your Prophet, his successor, and his progeny"
,دُعَاءً لَهُ نُورٌ وَ ضِيَاءٌ وَ بَهْجَةٌ وَ اسْتِنَارٌ,"A call that has light, illumination, joy, and brightness"
,فَدَعَانَا نَبِيُّكَ لِوَصِيِّهِ يَوْمَ غَدِيرِ خُمٍّ,Your Prophet called us to his successor on the day of Ghadeer Khumm
,فَوَفَّقْتَنَا لِلْإِصَابَةِ وَ سَدَّدْتَنَا لِلْإِجَابَةِ لِدُعَائِهِ,You guided us to the right path and directed us to respond to his call
,فَأَنَبْنَا إِلَيْكَ بِالْإِنَابَةِ وَ أَسْلَمْنَا لِنَبِيِّكَ قُلُوبَنَا,So we turned to You in repentance and submitted our hearts to Your Prophet
,وَ لِوَصِيِّهِ نُفُوسَنَا وَ لِمَا دَعَوْتَنَا إِلَيْهِ عُقُولَنَا فَتَمَّ لَنَا نُوْرُكَ,"And our souls to his successor, and our minds to what You have called us to, so Your light was completed for us"
,يَا هَادِيَ الْمُضِلِّينَ فَتَمَّ لَنَا نُوْرُكَ,"O Guide of the misguided, Your light was completed for us"
,أَخْرِجِ الْبُغْضَ وَ الْمُنْكَرَ وَ الْغُلُوَّ لِأَمِينِكَ أَمِيرِ الْمُؤْمِنِيْنَ وَ الْأَئِمَّةِ مِنْ وُلْدِهِ مِنْ قُلُوبِنَا وَ نُفُوسِنَا وَ أَلْسِنَتِنَا وَ هُمُومِنَا,"Remove hatred, denial, and exaggeration toward Your trustee, the Commander of the Faithful, and the Imams from his progeny from our hearts, our souls, our tongues, and our thoughts"
,وَ زِدْنَا مِنْ مُوَالَاتِهِ وَ مَحَبَّتِهِ وَ مَوَدَّتِهِ لَهُ وَ الْأَئِمَّةِ مِنْ بَعْدِهِ زِيَادَاتٍ لَا انْقِطَاعَ لَهَا وَ مُدَّةً لَا تَنَاهِيَ لَهَا,"And increase our loyalty, love, and affection for him and the Imams after him, with increases that have no end and a duration that has no limit"
,وَ اجْعَلْنَا نُعَادِيْ لِوَلِيِّكَ مَنْ نَاصَبَهُ وَ نُوَالِيْ مَنْ أَحَبَّهُ وَ نَأْمُلُ بِذٰلِكَ طَاعَتَكَ,"And make us oppose those who oppose Your guardian, and befriend those who love him, and we hope through this to obey You"
,يَا أَرْحَمَ الرَّاحِمِيْنَ,O Most Merciful of the merciful
,اَللَّهُمَّ اجْعَلْ عَذَابَكَ وَ سَخَطَكَ عَلَى مَنْ نَاصَبَ وَلِيَّكَ وَ جَاحَدَ وَ جَحَدَ إِمَامَتَهُ وَ أَنْكَرَ وَلَايَتَهُ,"O Allah, place Your punishment and wrath upon those who oppose Your guardian, and who deny his Imamate, and reject his authority"
,وَ قَدَّمْتَهُ أَيَّامَ فِتْنَتِكَ فِيْ كُلِّ عَصْرٍ وَ زَمَانٍ وَ أَوَانٍ,"And those who gave precedence in the days of Your trial in every era, time, and period"
,إِنَّكَ عَلَى كُلِّ شَيْءٍ قَدِيْرٌ,"Indeed, You have power over all things"
,اَللَّهُمَّ بِحَقِّ مُحَمَّدٍ رَسُولِكَ وَ عَلِيٍّ وَلِيِّكَ وَ الْأَئِمَّةِ مِنْ بَعْدِهِ حُجَجِكَ,"O Allah, by the right of Muhammad Your Messenger, and Ali Your guardian, and the Imams after him, Your proofs"
,فَأَثْبِتْ قَلْبِيْ عَلَى دِينِكَ وَ مُوَالَاةِ أَوْلِيَائِكَ وَ مُعَادَاةِ أَعْدَائِكَ,"Strengthen my heart upon Your religion, and loyalty to Your friends, and enmity toward Your enemies"
,مَعَ خَيْرِ الدُّنْيَا وَالْآخِرَةِ,With the goodness of this world and the Hereafter
,تَجْمَعُهُمَا لِيْ وَ لِأَهْلِيْ وَ وُلْدِيْ وَ إِخْوَانِيَ الْمُؤْمِنِيْنَ,"Gather them for me, and for my family, my children, and my believing brothers"
,إِنَّكَ عَلَى كُلِّ شَيْءٍ قَدِيْرٌ,"Indeed, You have power over all things"
