"line id verse number","arabic text","english translation text"
"","AAO TABOOT MOHAMMAD KA UTHAAO LOGO","OH PEOPLE, COME AND CARRY THE COFFIN OF MUHAMMAD"
"","SAARI DUNIYA KO WAFADARI, SIKHAAO LOGO\nAAO TABOOT MOHAMMAD KA UTHAO LOGO","TEACH THE WHOLE WORLD THE MEANING OF LOYALTY,\nOH PEOPLE, COME AND CARRY THE COFFIN OF MUHAMMAD"
"","JIS AQEEDAT SE BAPA KARTE HO MILAD E NABI\nFARSH E GHUM WESE MOHAMMAD KA, BICHAAO LOGO","WITH THE DEVOTION YOU CELEBRATE THE BIRTH OF THE PROPHET,\nO PEOPLE, IN THE SAME WAY COMMEMORATE THE DEMISE OF MUHAMMAD"
"","YE SAFAY GHUM HAI MOHAMMAD KI YAHA(N) FARK NAHI\nHA ISI SAFF PE ZAMAANE KO, BULAAO LOGO","THIS IS A GATHERING TO MOURN FOR THE PROPHET,\nO PEOPLE, INVITE EVERYONE TO THIS GATHERING TO MOURN FOR MUHAMMAD (SAW)"
"","GHAR MEIN HAI FATEMA ZEHRA KE ANDHERA CHAAYA\nAAJ KI RAAT CHARAGHO'N KO, BUJHAAO LOGO","THERE IS DARKNESS IN THE HOUSE OF FATIMA (AS)\nO PEOPLE, PUT OUT THE CANDLES TONIGHT"
"","KHAAKE PATTHAR BHI JO UMMAT KO DUA DETE RAHE\nAISE MOHSIN KA NA EHSAAN, BHULAAO LOGO","EVEN AFTER BEING STONED, HE CARRIED ON PRAYING FOR THE UMMAH\nO PEOPLE, NEVER FORGET THE FAVOURS OF THIS BENEVOLENT MAN"
"","APNE GHUM BHOOL KE DETI HAI KHADIJA YE SADA\nAASU ZEHRA KI YATEEMI PE, BAHAAO LOGO","FORGETTING HER OWN PAIN, KHADIJA CALLED OUT\nO PEOPLE, SHED TEARS FOR ZAHRA HAS BECOME AN ORPHAN NOW"
"","GHUM MEIN MAZLOOM KE RONA HAI NABI KI SUNNAT\nYE HAQIQAT NA ZAMANE SE, CHUPAAO LOGO","IT IS THE SUNNAH OF THE PROPHET TO CRY FOR THE OPPRESSED\nO PEOPLE, DO NOT HIDE THIS REALITY FROM ANYONE"
"","KYU HO KHAMOSH BAQAIYYA KE UJAR JAANE PAR\nAPNE SARKAAR KO AISE NA, RULAAO LOGO","WHY ARE YOU QUIET AFTER THE DESTRUCTION OF BAQEE\nO PEOPLE, DO NOT MAKE THE PROPHET CRY"
"","APNE BABA KI JUDAYI MEIN JO CHHUP KAR ROYI\nDIL USI FATEMA ZEHRA KA, BARHAAO LOGO","SHE USED TO CRY SECRETLY AFTER BEING SEPARATED FROM HER FATHER\nO PEOPLE, COME & GIVE FATIMA ZAHRA (AS) SOME SUPPORT"
"","BAAD BABA KE JISE HAQ NA MILA DUNIYA SE\nUSKE HAQ KE LIYE AWAAZ, UTHAAO LOGO","AFTER HER FATHER’S DEATH, SHE DID NOT GET WHAT WAS RIGHTFULLY HERS,\nO PEOPLE, FOR THIS RIGHT OF HERS SPEAK UP"
