line id verse number,arabic text,english translation text
,TUM TO MAQTAL MAIN BASAR RAAT KAROGE BABA,"YOU WILL SPEND THE NIGHT LYING ON THE BATTLEFIELD, O FATHER"
,KAB SAKINA SE MULAQAT KAROGE BABA,"WHEN WILL YOU MEET SAKINA AGAIN, O FATHER?"
,BABA JIS WAQT BANDHA HOGA RASAN MAIN YEH GALA,"O FATHER, WHEN IN ROPES THIS NECK WILL BE TIED"
,AUR NEZE PE TERA SIR BHI KAREGA GIRIYA,AND UPON THE LANCE YOUR HEAD SHALL CRY
,MUJHSE IS HAAL MAIN KYA BAAT KAROGE BABA,HOW IN THAT STATE WILL YOU TALK TO ME?
,MUJHKO MAALOOM HAI AB GHAR NA KABHI JAOONGI,I KNOW THAT I SHALL NEVER RETURN HOME
,"GUTKE ZINDAAN KE ANDHERE HI MAIN, MARJAOONGI",IN THE DARKNESS OF THE DUNGEONS SHALL I SUFFOCATE AND DIE
,MERE BIN KAISE BASAR RAAT KAROGE BABA,"BUT HOW, WITHOUT ME, SHALL YOU SPEND YOUR NIGHT?"
,BABA YEH SHIMR TOH RONE BHI NAHI DEGA MUJHE,"FATHER, THIS SHIMR WILL NOT ALLOW ME TO CRY"
,NEEND AAYEGI TOH SONE BHI NAHI DEEGA MUJHE,NOR TO SLUMBER WHEN I AM DROWSY
,DIL PE MEHSOOS YEH SADMAAT KAROGE BABA,"IN YOUR HEART WILL YOU SHARE THIS GRIEF, O FATHER"
,AMAA KEHTI HAI KE ASGHAR BHI NA AAB AAYEGA,MOTHER SAYS THAT ASGHAR SHALL NEVER RETURN
,SHAB KI TARIQI MAIN BHAYA MERA GHABRAYEGA,BUT IN THE DARKNESS OF THE NIGHT WILL MY BROTHER TAKE FRIGHT
,DOOR KAB GHAM KE KHAYALAAT KAROGE BABA,"WHEN WILL YOU ALLEVIATE THIS SORROW, FATHER?"
,NAUHA REHAN SAKINA KA SARE MAQTAL THA,O REHAN! THIS WAS SAKINA’S ELEGY IN THE MIDST OF THE BATTLEFIELD
,GHAM SE FATTA HAI SAKINA KA KALEJA BABA,"GRIEF HAS TORN MY HEART ASUNDER, O FATHER"
,APNI YAADEIN BHI MERE SAATH KAROGE BABA,"SHARE YOUR MEMORIES WITH ME, O FATHER"
