line id verse number,urdu transliteration text,english translation text
,@HujjatELC,Al MADAD MAWLA RAZAHelp us O Imam Reza (a.s)!English Transliteration
,"AL MADAD MAWLA RAZA
@HujjatELC",Help us O Imam Reza (a.s.)!
,"NANA NABI DADA ALI DADI TERI KHAIRUN NISAA
@HujjatELC
Your maternal grandfather is Prophet Muhammad (pbuh),","Your paternal grandfather is Imam Ali (a.s.),
Your grandmother is Hazrat Fatima (s.a)"
,"AL MADAD MAWLA RAZA
@HujjatELC",Help us O Imam Reza (a.s.)!
,"TU HAI MASIHA-E-JAHAAN SHAAHE KHURASAAN HAI LAQAB YU HAR FARISHTA ROZ PAR AATAA HAI TERE BA ADAB HAAN RAD NAHI HOTI TERE ROZE PE KOI BHI DUA, NANA NABI DADA ALI DADI TERI KHAIRUN NISAA
@HujjatELC
Every angel comes to your shrine with utmost respect,","You are the Messiah of the world and the King of the Khorasan is your title,
No Du’a is rejected at your door step,"
,"AL MADAD MAWLA RAZA
@HujjatELC",Help us O Imam Reza (a.s.)!
,"BINAAI BHI DETA HAI TU GOYAAI BHI DETA HAI TU MAANGE AGAR TUJSE KOI DAANAAI BHI DETA HAI TU TU BHI TO BABE ILM HAI TU BHI TO HAI MUSHKIL KUSHAA,
@HujjatELC","You give eyesight and the ability to speak,
You even bestow wisdom on people who ask for it,
You are also the door of knowledge and the solver of problems"
,"AL MADAD MAWLA RAZA
@HujjatELC",Help us O Imam Reza (a.s.)!
,"HAI ZAAMINE AAHU BHI TU GUL BHI HAI TU KHUSHBU BHI TU HAI PONCHTA HAR AANKH SE GIRTE HUWE AANSU BHI TU TERI ATAAYE DEKH KAR DUSHMAN KO BHI KEHNAA PARAA,
@HujjatELC","You are Zamin e Aahu (the one who took guarantee for the deer),
You wipe the tears from the eyes of the Azadar,
After seeing your generosity even your enemy had to say,"
,"AL MADAD MAWLA RAZA
@HujjatELC",Help us O Imam Reza (a.s.)!
,"TERI KARAAMAATE NAZAR SHAB HO KE HO WAQTE SAHAR KEHTA HAI HAR ZAAIR TERA ROZE KI JAALI CHUM KAR MASHHAD MUQADDAS HO GAYA TUNE JO AAKAR DI AZAAN,
@HujjatELC","When you look with kindness then even the night can turn into dawn,
This is what every pilgrim says while kissing your shrine,
Mashhad became holy as a result of your presence"
,"AL MADAD MAWLA RAZA
@HujjatELC",Help us O Imam Reza (a.s.)!
,"TERE HI DASTAR-KHAAN PAR HOTA HAI JANNAT KA GHUMAAN JINNO MALLAK LETE HAI SAB TERE HI DAR SE ROTIYAA MAULA TERA MAKRUUZ HAI HAR IK GADAAO BAADSHAA,
@HujjatELC","One imagines as if one is in heaven when sitting at your Dastar Khwan (food served in the shrine),
The angels and Jinns received their sustenance at your step,
Every king and beggar owes a debt to you"
,"AL MADAD MAWLA RAZA
@HujjatELC",Help us O Imam Reza (a.s.)!
,"ROZE SE TERE DUUR HAI HAM TO BOHOT MAJBOOR HAI AANKHON SE AANSU HAI RAWAAN DIL BHI GHAMON SE CHUR HAI TUJSE KAHENGE HALE DIL IZNE ZIYARAT KAR ATAA,
@HujjatELC","We are far from your shrine and very helpless,
Tears are flowing from our eyes and our hearts are broken,
We will share what is in our hearts with you"
,"AL MADAD MAWLA RAZA
@HujjatELC",Help us O Imam Reza (a.s.)!
