line id verse number,urdu transliteration text,english translation text
,Murjhaaya huwa hai. jungle mein kiyon gulshenay zahra aey badal.,O cloud why is Zahra’s flower garden wilting in the jungle.
,,"Paamaal nonihaale Taazaa hai. her phool hay sookha aey badal.
O cloud her fresh flowers have been trampled and left parched."
,"Wo kerbobla mein khaimay jaley,Shabbir kay bacchay rotey rahey.
Shabbirs children are crying in burning tents of kerbala",
,Derya say tau pani aaya nahi.Ab tu hi berasja aey baadel.,Since water didn't come from the river. why don't you rain down some water oh cloud?
,Woh fakheray sulaiman ki baiti. Bay perda chali hay balwey mein.,"Sulaiman's pride, his daughter, is made to go bareheaded in public."
,Taareek ghataoun ko laa ker tu ker dey andhera aye baadel.,"Gather all the dark clouds together and make the darken the skies,
O cloud!"
,"Suntay hain kay faujay aada bhi, munh phair kay rotee jaati thi.",We hear that even the enemies were turning their face away and crying.
,Dushman say bhi dekha jaa na saka asgher ka tarapna ay baadel.,Even the enemies couldn't see Asgher’s pain O cloud!
,"Abbas ko mashkeeza dey ker,Ouper jo sakina nay dekha.",While giving the mashkiza to abbas sakina looked up at you.
,Helka sa ishara bechhi ka kiya tu nay naa samjha aye badel.,"You could not understand her gesture as a plea for rain,
O cloud!"
