line id verse number,arabic text,english translation text
[100:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيم,"In the Name of Allah, the All-beneficent, the All-merciful.
Al Adiyat – The Courser"
[100:1],وَالْعَادِيَاتِ ضَبْحًا,"By the snorting chargers,
Al Adiyat – The Courser"
[100:2],فَالْمُورِيَاتِ قَدْحًا,"by the strikers of sparks [with their hoofs],
Al Adiyat – The Courser"
[100:3],فَالْمُغِيرَاتِ صُبْحًا,"by the raiders at dawn,
Al Adiyat – The Courser"
[100:4],فَأَثَرْنَ بِهِ نَقْعًا,"raising therein a trail of dust,
Al Adiyat – The Courser"
[100:5],فَوَسَطْنَ بِهِ جَمْعًا,"and cleaving therein a host!
Al Adiyat – The Courser"
[100:6],إِنَّ الْإِنسَانَ لِرَبِّهِ لَكَنُودٌ,"Indeed man is ungrateful to his Lord,
Al Adiyat – The Courser"
[100:7],وَإِنَّهُ عَلَىٰ ذَٰلِكَ لَشَهِيدٌ,"and indeed he is [himself] witness to that!
Al Adiyat – The Courser"
[100:8],وَإِنَّهُ لِحُبِّ الْخَيْرِ لَشَدِيدٌ,"And indeed he is an avid lover of wealth.
Al Adiyat – The Courser"
[100:9],أَفَلَا يَعْلَمُ إِذَا بُعْثِرَ مَا فِي الْقُبُورِ,"Does he not know, when what is [buried] in the graves is turned over,
Al Adiyat – The Courser"
[100:10],وَحُصِّلَ مَا فِي الصُّدُورِ,"and what is [concealed] in the breasts is divulged,
Al Adiyat – The Courser"
[100:11],إِنَّ رَبَّهُم بِهِمْ يَوْمَئِذٍ لَّخَبِيرٌ,"on that day their Lord will be well informed about them [and their deeds]?
Al Adiyat – The Courser"
