line id verse number,arabic text,english translation text
[88:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
Al Ghashiyah – The Overwhelming"
[88:1],هَلْ أَتَاكَ حَدِيثُ الْغَاشِيَةِ,"Did you receive the account of the Enveloper?
Al Ghashiyah – The Overwhelming"
[88:2],وُجُوهٌ يَوْمَئِذٍ خَاشِعَةٌ,"Some faces on that day will be humbled,
Al Ghashiyah – The Overwhelming"
[88:3],عَامِلَةٌ نَّاصِبَةٌ,"wrought-up and weary:
Al Ghashiyah – The Overwhelming"
[88:4],تَصْلَىٰ نَارًا حَامِيَةً,"they will enter a scorching fire
Al Ghashiyah – The Overwhelming"
[88:5],تُسْقَىٰ مِنْ عَيْنٍ آنِيَةٍ,"and made to drink from a boiling spring.
Al Ghashiyah – The Overwhelming"
[88:6],لَّيْسَ لَهُمْ طَعَامٌ إِلَّا مِن ضَرِيعٍ,"They will have no food except cactus,
Al Ghashiyah – The Overwhelming"
[88:7],لَّا يُسْمِنُ وَلَا يُغْنِي مِن جُوعٍ,"neither nourishing, nor of avail against hunger.
Al Ghashiyah – The Overwhelming"
[88:8],وُجُوهٌ يَوْمَئِذٍ نَّاعِمَةٌ,"Some faces on that day will be joyous,
Al Ghashiyah – The Overwhelming"
[88:9],لِّسَعْيِهَا رَاضِيَةٌ,"pleased with their endeavour,
Al Ghashiyah – The Overwhelming"
[88:10],فِي جَنَّةٍ عَالِيَةٍ,"in a lofty garden,
Al Ghashiyah – The Overwhelming"
[88:11],لَّا تَسْمَعُ فِيهَا لَاغِيَةً,"where they will not hear any vain talk.
Al Ghashiyah – The Overwhelming"
[88:12],فِيهَا عَيْنٌ جَارِيَةٌ,"In it is a flowing spring
Al Ghashiyah – The Overwhelming"
[88:13],فِيهَا سُرُرٌ مَّرْفُوعَةٌ,"and raised couches,
Al Ghashiyah – The Overwhelming"
[88:14],وَأَكْوَابٌ مَّوْضُوعَةٌ,"with goblets set,
Al Ghashiyah – The Overwhelming"
[88:15],وَنَمَارِقُ مَصْفُوفَةٌ,"and cushions laid out in an array,
Al Ghashiyah – The Overwhelming"
[88:16],وَزَرَابِيُّ مَبْثُوثَةٌ,"and carpets spread out.
Al Ghashiyah – The Overwhelming"
[88:17],أَفَلَا يَنظُرُونَ إِلَى الْإِبِلِ كَيْفَ خُلِقَتْ,"Do they not observe the camel, [to see] how it has been created?
Al Ghashiyah – The Overwhelming"
[88:18],وَإِلَى السَّمَاءِ كَيْفَ رُفِعَتْ,"and the sky, how it has been raised?
Al Ghashiyah – The Overwhelming"
[88:19],وَإِلَى الْجِبَالِ كَيْفَ نُصِبَتْ,"and the mountains, how they have been set?
Al Ghashiyah – The Overwhelming"
[88:20],وَإِلَى الْأَرْضِ كَيْفَ سُطِحَتْ,"and the earth, how it has been surfaced?
Al Ghashiyah – The Overwhelming"
[88:21],فَذَكِّرْ إِنَّمَا أَنتَ مُذَكِّرٌ,"So admonish—for you are only an admonisher,
Al Ghashiyah – The Overwhelming"
[88:22],لَّسْتَ عَلَيْهِم بِمُصَيْطِرٍ,"and not a taskmaster over them—
Al Ghashiyah – The Overwhelming"
[88:23],إِلَّا مَن تَوَلَّىٰ وَكَفَرَ,"except him who turns back and disbelieves.
Al Ghashiyah – The Overwhelming"
[88:24],فَيُعَذِّبُهُ اللَّهُ الْعَذَابَ الْأَكْبَرَ,"Him Allah will punish with the greatest punishment.
Al Ghashiyah – The Overwhelming"
[88:25],إِنَّ إِلَيْنَا إِيَابَهُمْ,"Indeed to Us will be their return.
Al Ghashiyah – The Overwhelming"
[88:26],ثُمَّ إِنَّ عَلَيْنَا حِسَابَهُم,"Then, indeed, their reckoning will lie with Us.
Al Ghashiyah – The Overwhelming"
