Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللَّهُمَّ اجْعَلْ فِيمَا تَقْضِيْ وَتُقَدِّرُ,"O Allah, ordain in what You decree and determine"
,مِنَ الْاَمْرِ الْمَحْتُوْمِ,From the inevitable matters
,وَفِيمَا تَفْرُقُ مِنَ الْاَمْرِ الْحَكِيْمِ,And in what You distinguish from the wise commands
,فِيْ لَيْلَةِ الْقَدْرِ,In the Night of Power (Laylatul Qadr)
,وَ فِيْ الْقَضَاءِ الَّذِيْ لَا يُرَدُّ وَلَا يُبَدَّلُ,And in the decree which cannot be rejected nor changed
,اَنْ تَكْتُبَنِيْ مِنْ حُجَّاجِ بَيْتِكَ الْحَرَامِ,That You write me among the pilgrims of Your Sacred House
,اَلْمَبْرُوْرِ حَجُّهُمُ,Those whose Hajj is accepted
,اَلْمَشْكُوْرِ سَعْيُهُمُ,Those whose efforts are appreciated
,اَلْمَغْفُوْرِ ذُنُوْبُهُمُ,Those whose sins are forgiven
,اَلْمُكَفَّرِ عَنْهُمْ سَيِّئَاتُهُمْ,Those whose misdeeds are expiated
,وَاجْعَلْ فِيمَا تَقْضِيْ وَتُقَدِّرُ,And ordain in what You decree and determine
,اَنْ تُطِيْلَ عُمْرِي,That You extend my life
,وَتُوَسِّعَ عَلَيَّ فِيْ رِزْقِي,And expand my sustenance
,,
