"line id","urdu transliteration","english translation text"
"","Hal min sada de kar dekha yeh Sarwar ne\nKhud ko giraya hai jhoolay se Asghar ne\nMola ne yeh\nRokar kaha\nKaisa yeh sadma hai..... beta Ali Asghar","Sarwar called out, “Is there anyone to help us?”\nLittle Asghar answered in his own way,\nFalling from his cradle as though offering himself.\nThe Master wept and said:\nWhat is this calamity,\nMy son, Ali Asghar?"
"","Aye mere dil, Noor e nazar\nKaisa ye sadma hai beta Ali Asghar","O comfort of my heart, light of my eyes,\nWhat is this grief, my son, Ali Asghar(ع)?"
"","Lori kise de gi bechain hai mamta\nMaan ki umeedon ka veeran hai jhoola\nHo kar wida\nHansta hua\nMaqtal ko jata hai.... beta Ali Asghar","Who will sing lullabies now? A mother's heart is restless.\nThe cradle of a mother's hopes stands desolate and empty.\nBidding farewell with a smile,\nHe journeys toward the battlefield.\nWhat is this calamity,\nMy son, Ali Asghar(ع)?"
"","Maqtal mein sheh bole fauj-e-sitamgar se\nDekho sitamgaro sookhe hain lab Iske\nBe jurm hai\nAur be khata\nKitna yeh pyasa hai... beta Ali Asghar","In the battlefield, the King of Martyrs said to the tyrant army:\n“Look, O oppressors! His lips are parched with thirst.\nHe is innocent, guilty of no crime.\nWithout fault, without sin,\nHow terribly thirsty he is\nMy son, Ali Asghar(ع)"
"","Khaime se maan boli ae Hurmala ruk ja\nGardan hai chhoti si aur teer se'h shoba\nTeer e jafa\nPhir chal gaya\nAur khoon mein dooba hai.... beta Ali Asghar","From the tents, his mother cried:\n“O Hurmala, stop!\nHis tiny neck cannot bear a three-pronged arrow.\nYet the arrow of cruelty was released,\nAnd he was drenched in his own blood.\nMy son, Ali Asghar (ع)"
"","Karte bhi kya aakhir ran mein shah wala\nChullo mein khoon bhar kar chehre pe mal dala\nPhir yeh kaha\nAe meh laqa\nBehaal baba hai.... beta Ali Asghar","What else could the King of Karbala do?\nScooping his infant's blood into his hands,\nHe spread it across his face.\nThen he said:\n“O moon-faced child,\nYour father is left helpless and broken\nMy son, Ali Asghar(ع)"
"","Haathon pe shah apne gham ki khabar laaye\nBano ne dekha hai laash-e-pisar laaye\nChuma gala\nBe sheer ka\nEk simt dhalka hai... beta Ali Asghar","Carrying the news of sorrow in his hands,\nThe Shah returned.\nLady Rubab (Bano) looked and saw\nThe body of her beloved son.\nShe kissed his throat,\nThe throat that had never tasted milk\nIt hung limp to one side\nMy son, Ali Asghar(ع)"
"","Shah ne kaha yeh gham kaise uthaoon main\nKaise teri dilbar turbat banaoun main\nBaba ka yeh\nDil aur jigar\nAb khoon hota hai... beta Ali Asghar","The Shah said:\n“How can I bear this grief?\nHow can I prepare your grave with my own hands?\nYour father's heart and soul\nAre now bleeding with pain.\nMy son, Ali Asghar(ع)"
"","Beta jo baba ke haathon pe tadpe ga\nBete ki mayyat ka dukh kaun samjhe ga\nSeerat Hasan\nPyasa dahan\nSadiyon se kehta hai... beta Ali Asghar","When a child writhes and dies in his father's arms,\nWho can truly understand that sorrow?\nSeerat Hasan says:\nWith parched lips,\nThis tale has been told for centuries\nThe story of Ali Asghar(ع)"
"","Aye mere dil, Noor e nazar\nKaisa ye sadma hai beta Ali Asghar","O comfort of my heart, O light of my eyes,\nWhat is this calamity, my son Ali Asghar(ع)?"
