line id verse number,urdu transliteration text,english translation text
,@HujjatELC,"Haye Sajjad Chalay Shaam, Khuda Khair Karay Oh Sajjad (a.s.)is on his way to Shaam, May Alláh make all wellEnglish Transliteration"
,"Haye Sajjad Chalay Shaam, Khuda Khair Karay
@HujjatELC","Oh Sajjad (a.s.) is on his way to Shaam, May Alláh make all well"
,"Galay Main Tauq Hay Aur Bariyan Hain Pearon Main.Diya Hain Shaam Kay Logo Nay Ye Inaam, Khuda Khair Karay
@HujjatELC","He has a cuff around his neck, his feet are chained,
The people of Shaam, have given him this reward,
May Allah make all well"
,"Woh Jis Kay Saar Say Rida Bhi Kabhi Sarak Jaye.To Maray Sharam Kay Suraj Waheen Palat Jaye.Sharabiyon Say Howi Hay Woh Hum Kalam.Khuda Khair Karay
@HujjatELC","If the veil just moved from their head slightly,
then the sun would feel embarrassed and set for them,
She had to face up to the drunk men,
May Allah make all well"
,"Tamam Shearon Kay Deevar O Dar Sajaye Hain.Khari Hain Auratain Haaton Main Sang Uthaye Hain.Kiya Hay Jashan-e-Fatah Ka Ye Ahtamam.Khuda Khair Karay.
@HujjatELC","All the walls and boundaries of the town have been decorated,
The ladies are standing, carrying their weights in their hands,
They have celebrated the end of their victory,
May Allah make all well"
,"Ali ki Beti pay guzreen Qayamateyn Kitni, Dayaar e Ghair Mei Jhayleen Musibateyn Kitni,Tabhi to Shaam Mei Roey Lahu Imam, Khuda Khair Karay
Therefore in Shaam, cried out the blood of Imam,
@HujjatELC","The calamities that befell the daughters of Ali,
In the strange land they bore countless difficulties,
May Allah make all well"
,"banake qaidi aulade ali ko laaye hai,ye shor barpa hai aae hai baaghi aae hai,macha hai shaam ke logo me kohraam khuda khair.
@HujjatELC","They have brought the children of Ali as prisoners,
There was an uproar, the prisoners have arrived,
There was an uproar amidst the people of Shaam,
May Allah make all well"
,"hashr se pehle imam e zama jo aayengeAli ki tegh bhi 'akhtar' wo saath laayengeYazeediyo se woh lenge jo inteqam khuda khair kare
Before the end, when Imam Zamana reappears,
@HujjatELC","He will bring the sword of Ali with him,
He will avenge the killings by Yazid,
May Allah make all well"
,"bazar e shaam me zainab jo berida hai khadi,bimaare sayyede abid pe kya kathan hai ghadi,bhare bazaar me harsu hai majma e aam khuda khair.
Make Allah make all well
@HujjatELC","In the bazaar of Shaam, Zainab is standing without a veil,
This is such a difficult moment for the one who was unwell (Imam Sajjad),
The bazaar is full of people,"
,"janabe ghazi ka sar naize pe tadapta tha,bimar qaidi ki ankho se khun barasta tha,laeen leta tha zainab ka jab bhi naam khuda khair.
Imam Sajjad shed tears of blood, when the oppressor takes the name Zainab,
@HujjatELC","The head of Ghazi (Hazrat Abbas) trembles on the spear,
May Allah make all well"
