line id verse number,urdu transliteration text,english translation text
,"Tere shehr-e se jaate haiWe are leaving your cityEnglish Transliteration
@HujjatELC",
,"Tere shehr-e se jaate hai, dai humko dua nana
@HujjatELC","We are leaving your city,
pray for us O Grandfather (saw)"
,"Aabad karenge hum, Hay ab karbobala nanaTere shehr-e se jaate hai, dai humko dua nana
O Grandfather (saw),
@HujjatELC","We will make Karbala flourish
We are leaving your city, pray for us O Grandfather (saw)"
,"Tera din-e he mushkil me, me kaise raho gar me,Tiflin-e koi wada, Ha tujse kiya nana
@HujjatELC","Your religion is in danger, how can I stay home and keep silent,
I made a promise with you when I was a child"
,"Roze pe tera aake, Ham sham-e jalaa tetheHo ab-e kon-e mujawir hai, Sugra ke siwa nana
@HujjatELC","We used to visit your grave to pay our respect,
There will be no one else here to visit you now apart from Fatima Sughra"
,"Is tarha parinde bhi, Maskan se nahi jaataGurbat me muje jaise, Hai abb jaana para nana
Even the birds don’t leave their homes,
@HujjatELC",The way I have to leave my home helplessly
,"Bache hai bohot chota, Garmi ka zamaana haiPohchayenga manzir par, Ab humko khuda nana
@HujjatELC","The children are very young and the heat is unbearable,
Only Allah (swt) can help us reach our destination"
,"Amaa ki lahad chuti, Roza bhi tera chutaUs wakta kaleje par, Khanjar se chalaa nana
@HujjatELC","We have had to leave the grave of my beloved mother and you,
It was unbearably painful like a dagger on our throats"
,"Zainab tere rauze per beparda nahi aaiAb dekhegi sab duniya sar uska khula nana
@HujjatELC
Zainab never came to your grave without her veil,",Now the whole world will see her without her veil
,"Mere sath me jati hai masoom sakina bhiPardes me howegi usper bhi jafa nana
@HujjatELC","My young Sakina is going with me too,
Many atrocities will be committed upon her too"
,"Rehan larzta tha markad bhi payamber kaShabbir jo kehte the mai marne chala nana
@HujjatELC","The grave of the Prophet would also tremble,
When it heard Husain saying, I am going to get martyred O Grandfather"
