Line id,Arabic text,Translation
,,
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,يَا شَدِيْدَ الْقُوَى,O You of mighty strength
,وَيَا شَدِيْدَ الْمِحَالِ,And You of mighty prowess
,يَا عَزِيْزُ يَا عَزِيْزُ يَا عَزِيْزُ,"O Mighty, O Mighty, O Mighty"
,ذَلَّتْ بِعَظَمَتِكَ جَمِيْعُ خَلْقِكَ,All Your creation is humbled before Your greatness
,فَاكْفِنِيْ شَرَّ خَلْقِكَ,So protect me from the evil of Your creation
,يَا مُحْسِنُ يَا مُجْمِلُ,"O Benefactor, O Beautifier"
,يَا مُنْعِمُ يَا مُفْضِلُ,"O Bestower of blessings, O Granter of favors"
,يَا لَا إِلٰهَ إِلَّا اَنْتَ سُبْحَانَكَ,"O there is no god but You, Glory be to You"
,إِنِّيْ كُنْتُ مِنَ الظَّالِمِيْنَ,"Indeed, I have been among the wrongdoers"
,فَاسْتَجَبْنَا لَهُ وَنَجّيْنَاهُ مِنَ الْغَمِّ,So We responded to him and saved him from distress
,وَكَذٰلِكَ نُنْجِيْ الْمُؤْمِنِيْنَ,And thus do We save the believers
,وَصَلَّى اللَّهُ عَلَى مُحَمَّدٍ وَ آلِهِ الطَّيِّبِيْنَ الطَّاهِرِيْنَ,And may Allah send blessings upon Muhammad and his pure and purified family
,,
