line id verse number,urdu transliteration text,english translation text
,AAP PER DUROOD AUR SALAAM AYE MERE IMAM,"Salutations and greetings on you, O my Imam"
,BAS YEHI SADA HAI SUBHA SHAAM AYE MERE IMAM,"This is my only plea, day and night, O my Imam"
,AAP PER DUROOD AUR SALAAM AYE MERE IMAM,"Salutations and greetings on you, O my Imam"
,AA RAHAY HAIN AAP CHAL RAHI HAI YE KHABAR,We hear that you are coming
,KHANE KHUDA PE HAI TIKI HUWE NADHR,We are looking constantly at the kabah.
,SAJ RAHAY HAIN RAASTAY TAMAAM,The streets are being decorated for your arrival.
,AYE MERE IMAM,O My Imam
,AAP PER DUROOD AUR SALAAM AYE MERE IMAM,"Salutations and greetings on you, O my Imam"
,HAR NAFS TUJHE MERA SALAAM ARZ HAI,"With every breath, I send salutations to you"
,MAIN TO KYA HOON HAR NABI WALI PE FARZ HAI,"Not only for me, but it is compulsory on every Prophet and guide"
,DO JAHAN MEIN TERA EHRAAM,Your respect in both worlds.
,AYE MERE IMAM,O My Imam
,AAP PER DUROOD AUR SALAAM AYE MERE IMAM,"Salutations and greetings on you, O my Imam"
,DO JAHAAN KI BADSHAH TERI ZAAT HAI,You are the king of both worlds
,TU HAI US KA HAATH JO KHUDA KA HAATH HAI,You are the representative of Imam Ali
,TERE HAATH BAYAT E TAMAM,Everyone pledges their allegiance to you
,AYE MERE IMAM,O My Imam
,AAP PER DUROOD AUR SALAAM AYE MERE IMAM,"Salutations and greetings on you, O my Imam"
,IS LIYE TUMHARA INTEZAAR HAI SHADEED,The reason we are waiting for you with great intense
,SAR UTHAYE PHIR RAHE HAIN WAQT KE YAZEED,The yazeed of the time are in power
,AAKE UNSE LIJEYE INTEQAAM,Come and take revenge from them
,AYE MERE IMAM,O My Imam
,AAP PER DUROOD AUR SALAAM AYE MERE IMAM,"Salutations and greetings on you, O my Imam"
,ZIKRE KHEIR APKA WAZIFA HAI MERA,I am praying for your safety
,MANQABAT NAHI YE ARIZA HAI MERA,This is not a poetry but my request
,PAR RAHA HOON ROOZ SUBHO SHAAM,I am reciting this daily
,AYE MERE IMAM,O My Imam
,AAP PER DUROOD AUR SALAAM AYE MERE IMAM,"Salutations and greetings on you, O my Imam"
,KHANE KHUDA KO QAID SE CHURAYI,Free the Kaaba from the tyrants
,"MOLA JALD AAYIE AB AA BHI JAIYE
Please come quickly O Master",
,DE KER ZULFIQAR E BE NIYAAM,With the zulfiqar unsheathed
,AYE MERE IMAM,O My Imam
,AAP PER DUROOD AUR SALAAM AYE MERE IMAM,"Salutations and greetings on you, O my Imam"
,MANGTE HAI YOUN ZAHOOR KI DUA,We are praying for your reappearence
,DEKHNA HAI HAMKO INTEQAAM E KARBALA,We want to see the revenge of Karbala
,CHAHE PHIR HO ZINDAQI TAMAAM,After that we will die in peace
,AYE MERE IMAM,O My Imam
,AAP PER DUROOD AUR SALAAM AYE MERE IMAM,"Salutations and greetings on you, O my Imam"
,CHOOMTE HAIN PAOUN AA KAY TAARE AAPKEY,The stars are at your service
,CHAL RAHA HAI ISHARE AAPKE,Every order of the world is awaiting your instructions
,"SAARI KAYENAAT KA NIZAAM
The whole universe’s system",
,AYE MERE IMAM,O My Imam
,AAP PER DUROOD AUR SALAAM AYE MERE IMAM,"Salutations and greetings on you, O my Imam"
