"line id verse number","arabic text","english translation text"
"","ZAINAB NE KAHA YE RO RO KAR DO HAUSLA BABA ZAINAB KO TANHA HAI LAYEENO MAY DUKHTAR DO HAUSLA BABA ZAINAB KO","ZAINAB ASKED HER FATHER WITH TEARS TO GIVE HER COURAGE WHEN SHE IS ALONE AMONG THESE CORRUPTS"
"","BABA MAI BADI BETI HOO TERI\nSAB BADLA LENGAY MUJHSE TERA","O’ FATHER I AM YOUR ELDEST DAUGHTER, THEY WILL TAKE REVENGE FROM ME NOW"
"","LOGON KE BADALTE HAI TEWAR DO HAUSLA BABA ZAINAB KO","THEY ARE CHANGING THEIR BEHAVIOUR AGAINST ME, GIVE ME COURAGE FATHER"
"","YE ZAINAB HAI KULSOOM HAI YE AAPAS MAY SITAMGAR KEHTE HAI","'THIS IS ZAINAB, THIS IS KULSOOM' THE OPPRESSORS TELL EACH OTHER"
"","HASTE HAI TAMSHAYI HUM PAR DO HAUSLA BABA ZAINAB KO","THEY ARE MAKING FUN OF US,\nGIVE US COURAGE FATHER"
"","HIMMAT YUN BADHAO BETI KI ABID KO BACHAKAR KEJAYE","GIVE ME COURAGE SO I SHOULD RESCUE ABID"
"","HAR GHAR SE BARASTE HAI PATHAR\nDO HAUSLA BABA ZAINAB KO","EACH HOUSEHOLD IS THROWING ROCKS AT US, GIVE US COURAGE FATHER"
"","EHSAS RIDA KA HOGA MUJHE\nTUM HAATH MERE SAR PAR RAKHDO","YOUR HAND OVER MY HEAD WILL GIVE ME A SENSE OF COVERING"
"","MUSHKIL HAI AGAR DENA CHADAR DO HAUSLA BABA ZAINAB KO","IF ITS HARD FOR YOU TO GIVE ME CHADAR, GIVE ME COURAGE FATHER"
"","LOGON KI NIGAHEIN UTH-TI HAI TASHEER KI ZARBEIN JALTI HAI","THE LOOKS OF PEOPLE ARE LIKE DEEP CUTS FOR US"
"","BETI HAI TERI ZERE KHANJAR\nDO HAUSLA BABA ZAINAB KO","YOUR DAUGHTER IS UNDER THE DAGGER (OF BAD LOOKS) GIVE ME COURAGE FATHER"
"","DARBAR KE US DARWAZE PAR AMMA KO SAMBHALA THA TUMNE","YOU GAVE SUPPORT TO OUR MOTHER ON THAT DOOR OF THE TYRANT"
"","DARBAR KE IS DARWAZE PAR\nDO HAUSLA BABA ZAINAB KO","GIVE ME SUPPORT IN THE SAME WAY ON THE DOOR OF THIS TYRANT OH FATHER!"
