"line id verse number","arabic text","english translation text"
"","DI THI AMMA NE JO POSHAAK WO LAADO ZAINAB\nAPNE HATHO SE KAFAN MUJHKO PINHA DO ZAINAB","ZAINAB, BRING THE CLOTHES THAT MOTHER HAD GIVEN\nWITH YOUR HANDS, PUT ON MY KAFAN ZAINAB"
"","AAJ MAQTAL ME FAQAT BAAT TUMHARI HOGI\nABHI AMMA SE MULAQAT HAMARI HOGI","TODAY IN THE BATTLEFIELD, THERE WILL BE ONLY YOUR WORDS\nNOW I WILL BE MEETING OUR MOTHER"
"","KOI PAIGHAM AGAR HAI TO SUNA DO ZAINAB\nAPNE HATHO SE KAFAN MUJHKO PINHA DO ZAINAB","IF YOU HAVE ANY MESSAGE, THEN LET ME KNOW ZAINAB\nWITH YOUR HANDS, PUT ON MY KAFAN ZAINAB"
"","HATH PABANDE RASAN BEHNA TUMHARE HONGE\nMUJHKO REH REH KE KHAYAL AATA HAI LASHE SE MERE","YOUR HANDS WILL BE TIED WITH ROPE MY SISTER\nI KEEP THINKING ABOUT THIS OVER AND OVER, FROM MY BODY"
"","TEER KIS TARHA NIKALOGI BATADO ZAINAB\nAPNE HATHO SE KAFAN MUJHKO PINHA DO ZAINAB","HOW WILL YOU TAKE OUT THE ARROWS, TELL ME THIS ZAINAB\nWITH YOUR HANDS, PUT ON MY KAFAN ZAINAB"
"","MERE LAASHE KI RAHEGI TUMHE PEHCHAN BAHEN\nCHAAK KARDO MERE KURTE KA GIREHBAAN BAHEN","THIS IS HOW YOU WILL BE ABLE TO RECOGNIZE MY DEAD BODY, MY SISTER\nTEAR THE FRONT OF MY SHIRT, MY SISTER"
"","KOI LOOTE NA ISE AISA BANADO ZAINAB\nAPNE HATHO SE KAFAN MUJHKO PINHA DO ZAINAB","MAKE IT SO THAT NO ONE WILL WANT TO STEAL IT\nWITH YOUR HANDS, PUT ON MY KAFAN ZAINAB"
"","SAAMNE APNE SAKINA (S.A.) SE UTARWA LO GAUHAR\nABHI KUCH DER ME LUT JAEGA MAZLOOM KA GHAR","HAVE SAKINA TAKE OFF HER EARRINGS IN FRONT OF YOU\nIN JUST A SHORT WHILE, THE HOUSE OF THE OPPRESSED WILL BE LOOTED"
"","YE AMANAT KISI GOSHE ME CHUPA LO ZAINAB\nAPNE HATHO SE KAFAN MUJHKO PINHA DO ZAINAB","ZAINAB, HIDE THIS AMAANAT IN SOME CORNER\nWITH YOUR HANDS, PUT ON MY KAFAN ZAINAB"
"","BAHAR AANE KO NA KHAIME SE MAI KEHTA TUMKO\nHOTE ABBAS (A.S.) TO TAKLEEF NA DETA TUMKO","I AM NOT TELLING YOU TO COME OUT OF THE TENT\nIF ABBAS WAS HERE, I WOULD NOT GIVE YOU THIS TROUBLE"
"","BANAKE ABBAS (A.S.) MUJHE ZEE PE BITHA DO ZAINAB\nAPNE HATHO SE KAFAN MUJHKO PINHA DO ZAINAB","BECOME ABBAS AND SEAT ME ON THE SADDLE, ZAINAB\nWITH YOUR HANDS, PUT ON MY KAFAN ZAINAB"
"","QAID KHANE KI SAMBHALO YE AMANAT BIBI\nGOD ME LO ISE MAZLOOM HO RUKHSAT BIBI","TAKE CARE OF THIS AMAANAT OF THE PRISON, LADY (ZAINAB)\nTAKE THIS CHILD INTO YOUR LAP SO THE OPPRESSED CAN TAKE HIS LEAVE, LADY (ZAINAB)"
"","MERA DAMANNN MERI BACHI SE CHHUDA DO ZAINAB\nAPNE HATHO SE KAFAN MUJHKO PINHA DO ZAINAB","SEPARATE MY DAUGHTER FROM MY SHIRTTAILS, ZAINAB\nWITH YOUR HANDS, PUT ON MY KAFAN ZAINAB"
"","JAB SE AKBAR (A.S.) GAYE BEENAI BHI ANKHO KI GAYI\nLAAKE DEDO ALI ASGHAR (A.S.) KI NISHANI KOI","SINCE AKBAR WENT, THE LIGHT FROM MY EYES HAS GONE\nBRING ME A REMINDER OF ALI ASGHAR"
"","KURTA BESHEER KA ANKHO SE LAGA DO ZAINAB\nAPNE HATHO SE KAFAN MUJHKO PINHA DO ZAINAB","PUT THE SHIRT OF THE SUCKLING BABY ON MY EYES, ZAINAB\nWITH YOUR HANDS, PUT ON MY KAFAN ZAINAB"
"","GHAR SE SHABBIR (A.S.) JANAZE KI TARHA SE NIKLE\nSAB HI ROTE THE TAKALLUM DARE KHAIMA PE KHADE","FROM THE HOME, SHABBIR WENT OUT LIKE A DEAD BODY\nEVERYONE WAS CRYING STANDING AT THE DOOR OF THE TENT"
"","SHEH (A.S.) NE JIS DAM KAHA MARNE KI RIZA DO ZAINAB\nAPNE HATHO SE KAFAN MUJHKO PINHA DO ZAINAB","THE MOMENT HUSAYN SAID ‘GIVE ME PERMISSION TO DIE ZAINAB’\nWITH YOUR HANDS, PUT ON MY KAFAN ZAINAB"
"","SAMNE APNE SAKINA S.A SE UTARWALO GHOHAR\nABHI KUCH DER MEIN LUT JAYE GHA MAZLOOM KA GHAR\nYEH AMANAT KISI GHOSHE MEIN CHUPA DHO ZAINAB S.A\nAPNE HATHON SE KAFAN MUJHKO PINHADO ZAINAB S.A","IN FRONT OF YOURSELF, GET THE EARRINGS FROM SAKINA\nNOW SOON THE HOUSE OF THE OPPRESSED PERSON (IMAM HUSAYN) WILL BE DESTROYED\nHIDE THIS TRUST IN SOME CORNER O ZAINAB!\nDRESS ME UP IN THE SHROUD WITH YOUR HANDS, O ZAINAB!"
