"line id verse number","arabic text","english translation text"
"","SUNTEHO SAKINA KE, LAB PAR HAI FUGHAA(N) BHAAYI\nLOT AWO MERE AMMU, PANI NAHI MANGUNGI\nAB RUTH NA JAWO TUM, ITNA TO ZARA SOCHO\nMARJAYENGI WO BACCHI","CAN YOU HEAR THE CRIES ON THE LIPS OF SAKINA, O MY BROTHER?\nPLEASE RETURN MY UNCLE, I WILL NOT ASK FOR ANY WATER\nPLEASE DON'T LEAVE ME NOW, JUST THINK OF THIS\nTHAT LITTLE GIRL WILL DIE WITHOUT YOU"
"","(PANI NAHI MANGUNGI, HARGIS NAHI ROUNGI, AMMU MERE AJAWO)","I WILL NOT ASK FOR WATER ANYMORE, I PROMISE I WILL NOT CRY, OH MY UNCLE PLEASE RETURN"
"","BARHTA HAI SHIMMAR LEKAR HATHON ME WO IK KHANJAR\nBABA HAI ZAMIN PAR AUR HAI SAJDE MEI USKA SAR\nKISTARHA SE BABA KO ZALIM SE BACHAUNGI, AMMU MERE AJAWO","I CAN SEE SHIMR ADVANCING WITH A DAGGER IN HIS HAND\nMY FATHER IS LYING ON THE FLOOR AND HIS HEAD IS IN PROSTRATION\nHOW WILL I SAVE MY FATHER FROM THIS EVIL TYRANT\nOH MY UNCLE PLEASE RETURN"
"","AB BHI HAI LAHU JARI DEKHO MERE KAANO(N) SE\nDAMAN BHI JALA HAI AUR RUKHSAR HAI YE NEELE\nIS DIL KE YE GHAM SAARE, MEI TUMKO BATAUNGI, AMMU MERE AJAWO","LOOK OH MY UNCLE BLOOD IS STILL FLOWING FROM MY EARS,\nMY SHIRT HAS BEEN BURNT FROM MY BACK AND MY CHEEKS ARE RED WITH BRUISES\nI WILL TELL YOU ABOUT ALL THE SORROWS IN MY HEART\nOH MY UNCLE PLEASE RETURN"
"","IK UNTH SE RETI PAR GIR GIR KE MEI UTH TI HUN\nAUR SHIMR KE DURRE BHI, MEI PUSHT PE KHATI HUN\nBIN TERE SAFAR KAISE, IS DHOOP ME KATUNGI, AMMU MERE AJAWO","I AM REPEATEDLY FALLING OFF A CAMEL THAT I AM TIED TO AND GETTING BACK UP\nAND I AM ALSO BEING HIT ON THE BACK WITH CHAINS BY SHIMR\nHOW WILL I MAKE THIS LONG JOURNEY IN THIS HEAT WITHOUT YOU\nOH MY UNCLE PLEASE RETURN"
"","MANGA HAI MUJHE AMMU ZALIM NE KANIZI MEI\nGHABRATI HUN MEI LEKIN PABAND HUN RASSI MEI\nKISTARHA SE ZALIM SE, MEI KHUD KO CHHUPAUNGI, AMMU MERE AJAWO","SOMEONE HAS ASKED FOR ME, OH MY UNCLE, IN SLAVERY\nI AM FRIGHTENED AND SHAKING BUT I AM TIED UP IN CHAINS\nHOW CAN I HIDE MYSELF FROM THESE EVIL TYRANTS\nOH MY UNCLE PLEASE RETURN"
"","KYUN NOK SE GIRTA HAI HAR BAAR TUMHARA SAR\nKYA SHARM YE AATI HAI HAM SAB HAI BAREHNA SAR\nPUR DARD SAFAR KI MEI RUDAAD SUNAUNGI, AMMU MERE AJAWO","WHY DOES YOUR HEAD KEEPING FALLING FROM THE TOP OF THE SPEAR\nARE YOU ASHAMED THAT WE ARE ALL BARE HEADED\nCOME TO ME AND I WILL TELL YOU THE FULL STORY OF OUR SORROWFUL JOURNEY\nOH MY UNCLE PLEASE RETURN"
"","HAYE TASHT TALE PAR AB BABA KA RAKHA HAI SAR\nUSSE MARTA HAI ZALIM HONTON PE CHARDI LEKAR\nIS ZULM KO MEI KAISE IN AANKHON SE DEKHUNGI, AMMU MERE AJAWO","MY FATHER'S HEAD IS PLACED ON A SILVER TRAY\nTHAT OPPRESSOR IS HITTING MY FATHERS LIPS WITH A STICK\nHOW CAN I BEAR TO SEE THIS OPPRESSION WITH MY EYES\nOH MY UNCLE PLEASE RETURN"
"","THA KHAAB YAHI MERA SAB SAATH CHALLE(N)NGE GHAR,\nAKBAR BABA AUR TUM AUR NANNA ALI ASGHAR\nAB TANHA WATAN KO ME, KISTARHA SE JAUNGI, AMMU MERE AJAWO","MY DREAM WAS THAT ONE DAY WE WOULD ALL RETURN HOME TOGETHER\nALI AKBAR, MY FATHER AND YOU AND LITTLE ALI ASGHAR\nHOW CAN I RETURN HOME WITHOUT YOU?\nOH MY UNCLE, PLEASE RETURN"
"","HAYE WAQT GUZARTA THA HOTI THI SADAEI(N)KAM\nZINDANN ME PHIR IK DIN US BACHHI KA NIKLA DAM\nAWAZ NA AYI PHIR, PANI NAHI MANGUNGI, AMMU MERE AJAWO","TIME WAS ELAPSING AND THIS CRY WAS BECOMING QUIETER AND QUIETER\nTHEN ONE DAY INSIDE THE PRISON LITTLE SAKINA BREATHED HER LAST\nTHIS CRY WAS NEVER HEARD AGAIN, I WON'T ASK FOR WATER ANYMORE\nOH MY UNCLE PLEASE RETURN"
"","AB BHI AY TEJANI HAI ZINADA(N) SE SADA JARI\nTANHA HUN AKELI HUN, VEERA(N) SE HU(N) GHABRATI\nTANHAYI MITANE KO, ME KISKO PUKARUNGI, AMMU MERE AJAWO","UNTIL TODAY, OH TEJANI, THIS CRY IS STILL PERSISTING FROM THE PRISON\nI AM ALL ALONE AND ABANDONED AND I AM SCARED OF THE DARK\nPLEASE COME AND RELINQUISH MY LONELINESS\nOH MY UNCLE, PLEASE RETURN"
