"line id verse number","arabic text","english translation text"
"","HAYE SAJJAD CHALAY SHAAM, KHUDA KHAIR KARAY","OH SAJJAD (A.S.) IS ON HIS WAY TO SHAAM, MAY ALLAH MAKE ALL WELL"
"","GALAY MAIN TAUQ HAY AUR BARIYAN HAIN PEARON MAIN.\nDIYA HAIN SHAAM KAY LOGO NAY YE INAAM, KHUDA KHAIR KARAY","HE HAS A CUFF AROUND HIS NECK, HIS FEET ARE CHAINED,\nTHE PEOPLE OF SHAAM, HAVE GIVEN HIM THIS REWARD,\nMAY ALLAH MAKE ALL WELL"
"","WOH JIS KAY SAAR SAY RIDA BHI KABHI SARAK JAYE.\nTO MARAY SHARAM KAY SURAJ WAHEEN PALAT JAYE.\nSHARABIYON SAY HOWI HAY WOH HUM KALAM.\nKHUDA KHAIR KARAY","IF THE VEIL JUST MOVED FROM THEIR HEAD SLIGHTLY,\nTHEN THE SUN WOULD FEEL EMBARRASSED AND SET FOR THEM,\nSHE HAD TO FACE UP TO THE DRUNK MEN,\nMAY ALLAH MAKE ALL WELL"
"","TAMAM SHEARON KAY DEEVAR O DAR SAJAYE HAIN.\nKHARI HAIN AURATAIN HAATON MAIN SANG UTHAYE HAIN.\nKIYA HAY JASHAN-E-FATAH KA YE AHTAMAM.\nKHUDA KHAIR KARAY.","ALL THE WALLS AND BOUNDARIES OF THE TOWN HAVE BEEN DECORATED,\nTHE LADIES ARE STANDING, CARRYING THEIR WEIGHTS IN THEIR HANDS,\nTHEY HAVE CELEBRATED THE END OF THEIR VICTORY,\nMAY ALLAH MAKE ALL WELL"
"","ALI KI BETI PAY GUZREEN QAYAMATEYN KITNI, DAYAAR E GHAIR MEI JHAYLEEN MUSIBATEYN KITNI,\nTABHI TO SHAAM MEI ROEY LAHU IMAM, KHUDA KHAIR KARAY","THE CALAMITIES THAT BEFELL THE DAUGHTERS OF ALI,\nIN THE STRANGE LAND THEY BORE COUNTLESS DIFFICULTIES,\nTHEREFORE IN SHAAM, CRIED OUT THE BLOOD OF IMAM,\nMAY ALLAH MAKE ALL WELL"
"","BANAKE QAIDI AULADE ALI KO LAAYE HAI,\nYE SHOR BARPA HAI AAE HAI BAAGHI AAE HAI,\nMACHA HAI SHAAM KE LOGO ME KOHRAAM KHUDA KHAIR.","THEY HAVE BROUGHT THE CHILDREN OF ALI AS PRISONERS,\nTHERE WAS AN UPROAR, THE PRISONERS HAVE ARRIVED,\nTHERE WAS AN UPROAR AMIDST THE PEOPLE OF SHAAM,\nMAY ALLAH MAKE ALL WELL"
"","HASHR SE PEHLE IMAM E ZAMA JO AAYENGE\nALI KI TEGH BHI 'AKHTAR' WO SAATH LAAYENGE\nYAZEEDIYO SE WOH LENGE JO INTEQAM KHUDA KHAIR KARE","BEFORE THE END, WHEN IMAM ZAMANA REAPPEARS,\nHE WILL BRING THE SWORD OF ALI WITH HIM,\nHE WILL AVENGE THE KILLINGS BY YAZID,\nMAY ALLAH MAKE ALL WELL"
"","BAZAR E SHAAM ME ZAINAB JO BERIDA HAI KHADI,\nBIMAARE SAYYEDE ABID PE KYA KATHAN HAI GHADI,\nBHARE BAZAAR ME HARSU HAI MAJMA E AAM KHUDA KHAIR.","IN THE BAZAAR OF SHAAM, ZAINAB IS STANDING WITHOUT A VEIL,\nTHIS IS SUCH A DIFFICULT MOMENT FOR THE ONE WHO WAS UNWELL (IMAM SAJJAD),\nTHE BAZAAR IS FULL OF PEOPLE,\nMAKE ALLAH MAKE ALL WELL"
"","JANABE GHAZI KA SAR NAIZE PE TADAPTA THA,\nBIMAR QAIDI KI ANKHO SE KHUN BARASTA THA,\nLAEEN LETA THA ZAINAB KA JAB BHI NAAM KHUDA KHAIR.","THE HEAD OF GHAZI (HAZRAT ABBAS) TREMBLES ON THE SPEAR,\nIMAM SAJJAD SHED TEARS OF BLOOD, WHEN THE OPPRESSOR TAKES THE NAME ZAINAB,\nMAY ALLAH MAKE ALL WELL"
"","BANA KAY QAIDI AULAD-E-ALI KO LAYE HAIN. YE SHOR BARPA AAYE HAIN BAGHI AAYE HAIN. MACHA HAY SHAAM KAY LOGON MAIN KOHRAM.\nKHUDA KHAIR KARAY.","THEY HAVE BROUGHT THE CHILDREN OF ALI AS PRISONERS,\nTHIS UPROAR IS BECAUSE THE REBELS HAVE COME.\nTHERE IS CHAOS AMONG THE PEOPLE OF SHAAM,\nMAY GOD PROTECT US."
