line id verse number,arabic text,english translation text
,AY SHIMR ZARA\nKUCH REHM TO KHA\nYE CHOTI ZAHRA HAI,"O SHIMR, HAVE\nSOME MERCY, THIS IS\nA LITTLE ZAHRA"
,MASOOM SAKINA HAI,THIS IS THE INNOCENT SAKINA
,NA MAAR ISSE\nNAZON SE ISSE\nSHABBIR NE PAALA HAI,"DON’T HIT HER, WITH\nGREAT LOVE AND CARE,\nHUSSAIN HAS BROUGHT HER UP"
,SAJJAD KI BEHNA KO GHAZI KI BHATIJI KO\nMANGA HAI KANEEZI ME IS PHOOL SI BACHI KO\nSHEH NE APNE SAJDO ME ISSE ALLAH SE MANGA HAI,THE SISTER OF SAJJAD THE NIECE OF ABBAS\nTHEY HAVE TREATED THIS LITTLE GIRL LIKE A SLAVE\nTHE ONE WHO HUSSAIN USED TO PRAY FOR
,DORENGE AGAR NAQE KIS TARHA SAMBHLEGI\nAWAAZ KISSE DEGI GAR RAAH ME GIR JAAYE\nPUSHTE NAQA PER KYUN TANHA RASSI SE BANDHA HAI,"WHEN THE CAMELS GO FAST, HOW WILL SHE HANDLE THIS?\nIF SHE FALLS ON THE ROAD, WHO WILL SHE CALL OUT TO?\nWHY HAVE YOU TIED HER ALONE WITH ROPES ON THE CAMEL"
,KYA JURM KIYA ISNE KYUN ISKO RULATA HAI\nDIKHLA KE ISSE PAANI MATTI PE BAHATA HAI\nKYA TERI KOI AWLAD NAHI KYUN ZULM YE DHATA HAI,"WHAT HAS SHE DONE WRONG, WHY DO YOU MAKE HER CRY\nYOU SHOW HER WATER, THEN SPILL IT ON THE FLOOR\nDO YOU NOT HAVE A FAMILY? WHY DO YOU OPPRESS LIKE THIS?"
,RONE NA DIYA ISKO BABA KE LAASHE PER\nHAI NEEL TAMACHO KE MASUMA KE CHEHRE PER\nALLAH JAANE YEH ISPE SITAM KIS BAAT KA BADLA HAI,"YOU DIDN’T LET HER CRY AT HER FATHER’S GRAVE\nHER CHEEKS ARE RED FROM THE MARKS OF THE SLAPS!\nONLY GOD KNOWS, ALL THIS TORTURE – WHAT ARE THEY AVENGING"
,"EK RAAT SARE ZINDAAN SHABBIR KA SAR AYA\nBACHI NE KIYA NOHA\nSAR LEKAR GODI ME\nBABA DEKHO, AANKHEN KHOLO YEH KAUN ZAEEFA HAI","ONE NIGHT IN THE PRISON OF SHAAM THE\nHEAD OF HUSSAIN WAS BROUGHT SHE TOOK THE\nHEAD IN HER LAPS AND STARTED WEEPING LOOK\nFATHER, OPEN YOUR EYES, LOOK AT MY STATE"
,"MASOOM KI GARDAN ME BANDHI HAI RASAN AISE\nGHUT JAAEGA DAM ISKA ME TEZ CHALUN KAISE\nYEH KEHTA HUWA, BIMAR MERA KHAM HOKAR CHALTA HAI","ON THE NECK OF THE INNOCENT GIRL, THEY HAVE TIED ROPES\nSHE WILL SUFFOCATE LIKE THIS, HOW CAN I WALK ANY FASTER\nWHILST SAYING THIS, SAJJAD WOULD WALK WITH HIS BACK BROKEN"
,ROZE PE NAZAR JAB BHI AY SHADMAN JAATI HAI\nPHIR QALB E TAKALLUM KO YE BAAT RULAATI HAI\nCHOTI BIBI SADIYAAN GUZRI ZINDAAN ME TANHA HAI,"WHENEVER WE LOOK AT HER SHRINE\nTHEN THE HEART ACHES, AND WE CRY\nIT HAS BEEN YEARS, THIS LITTLE GIRL HAS BEEN ALL ALONE IN THE PRISON"
,"DIKHLA KE ISE PAANI, MATTI PE BAHAATA HA\nBACCHI NE KIYA NAUHA SAR LE KAR GODI ME,\nAANKHEIN KHOLO, BABA DEKHO,YE KAUN ZA'IFA HAI","YOU TAUNT HER BY SHOWING HER WATER, THEN SPILL IT\nON THE FLOOR SHE TOOK THE HEAD INTO HER LAP\nAND WAILED OPEN YOUR EYES, O BABA, LOOK AT MY STATE!"
,"TURBAT PE SAKINA KI, ABID NE KAHA HOGA\nYE MERI AMAANAT HAI, RAKHNA TU KHAYAAL ISKA\nBABA BHI NAHI, AMMU BHI NAHI,BE AAS YATIMA HAI","SAJJAD LAMENTED AT THE GRAVE OF SAKINA THIS IS\nMY POSSESSION, TAKE GOOD CARE OF HER NO FATHER,\nNO UNCLE, SHE IS AN ORPHAN WITH NO HOPE"
