Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَلْحَمْدُ لِلّٰهِ الَّذِيْ لَمْ يَتَّخِذْ وَلَدًا,"All praise is for Allah, who has not taken a son"
,وَلَمْ يَكُنْ لَهُ شَرِيكٌ فِيْ الْمُلْكِ,And has no partner in [His] dominion
,وَلَمْ يَكُنْ لَهُ وَلِيٌّ مِنَ الذُّلِّ,And has no protector out of weakness
,وَكَبِّرْهُ تَكْبِيرًا,And magnify Him with all magnificence
,اَللّٰهُمَّ إِنِّيْ أَسْأَلُكَ بِمَعَاقِدِ عِزِّكَ,"O Allah, I ask You by the strongholds of Your might"
,عَلٰى أَرْكَانِ عَرْشِكَ,Upon the pillars of Your throne
,وَمُنْتَهَى الرَّحْمَةِ مِنْ كِتَابِكَ,And by the utmost of mercy from Your Book
,وَبِاسْمِكَ الْأَعْظَمِ الْأَعْظَمِ الْأَعْظَمِ,"And by Your Name, the Greatest, the Greatest, the Greatest"
,وَذِكْرِكَ الْأَعْلَى الْأَعْلَى الْأَعْلٰى,"And by Your Remembrance, the Highest, the Highest, the Highest"
,وَبِكَلِمَاتِكَ التَّامَّاتِ,And by Your Perfect Words
,أَنْ تُصَلِّيَ عَلٰى مُحَمَّدٍ وَ آلِهِ,To send blessings upon Muhammad and his family
,وَأَنْ تَفْعَلَ بِىْ مَا أَنْتَ أَهْلُهُ,And to do with me what is worthy of You
