"line id verse number","arabic text","english translation text"
"","AMMA FIZZA BATADE MUJKO\nPATHAR KYU AARAHAI","MOTHER FIZZA, PLEASE TELL ME WHY ROCKS ARE BEING THROWN AT US?"
"","KAYSA HAI YEH CHARAKHAA? DIL DUBEY JAA RAAHAI HAI, KYA SHAAM AAGAYA HAI?","WHAT KIND OF DIFFICULTY IS THIS? OUR HEARTS ARE SINKING, HAVE WE REACHED SHAAM?"
"","HONE LAGI AZAANE, KAYSE SARON KO DHAAMPE,\nBAZU BANDHE HUWE HAI, KHUN RO RAHI HAI AANKHEI","THE AZAAN IS BEGINNING, HOW WILL WE COVER OUR HEADS? OUR ARMS ARE TIED UP, OUR EYES ARE SHEDDING TEARS OF BLOOD"
"","AANKHON KE KHUN SE RASTE KHUN MEI NAHA RAHE HAI. KYA SHAAM AAGARA HAI?","OUR EYES, ALL BLOODY, ARE LOOKING AT THE BLOOD-SOAKED ROADS. HAVE WE REACHED SHAAM?"
"","SAJJAD KA KALEJA, SAD PAASH HO RAHA HAI. IK EIK ZAKHM INKA, IS GHAM ME RO RAHA HAI","SAJJAD’S LIVER IS IN GREAT ANGUISH.\nEACH OF HIS WOUNDS ARE CRYING IN GRIEF"
"","ZAINAB KA NAAM LEKAR, ADAA BULA RAHE HAI. KYA SHAAM AGAYA HAI?","THE ENEMIES ARE CALLING ZAINAB BY HER NAME. HAVE WE REACHED SHAAM?"
"","NAYZE PEY JITNE SAR HAI, IK SAR HAI UNMEI AYSA. AANKHEIN HAI BANDHE USKI, AUR KHAAK PAR HAI GIRTA","OF ALL THE HEADS ON THE LANCES, THERE IS ONE HEAD WITHIN THEM, WHOSE EYES ARE CLOSED, AND KEEPS FALLING ON THE SAND"
"","ABBAS KA YEH SAR HAI, TEYWAR BATA RAHAI HAI. KYA SHAAM AAGAYA HAI?","THIS IS THE HEAD OF ABBAS, THE BEHAVIOUR MAKES IT CLEAR. HAVE WE REACHED SHAAM?"
"","ITNA CHALE HAI PEDHAL, KANTO PE SARE QAYDI. THAK JATI CHALTE CHALTE, CHALTI AGAR ZAMIN BHI","THE PRISONERS HAVE WALKED FAR ON MANY THORNS, THE GROUND WOULD ALSO GET TIRED IF IT WALKED THIS MUCH"
"","PERO(N) KE ABLE BHI, ANSU BAHAA RAHE HAI. KYA SHAAM AGAYI HAI?","THE FEET ARE ALSO SHEDDING TEARS. HAVE WE REACHED SHAAM?"
"","HAI LOG KISTARHA KE, HUMSE DUA KARAYE. AAI QAYDIYON DUA DO, YEH DIN NA HAM PE AAYE","WHAT KIND OF PEOPLE ARE THESE? THEY ARE MAKING US PRAY FOR THEM. SAYING, 'OH PRISONERS PRAY FOR US THAT WE NEVER SEE A DAY LIKE YOURS'"
"","LEKAR DUAYEN HAMSE, DIL BHI DUKHA RAHAI HAI. KYA SHAAM AAGAYA HAI?","THEY TAKE OUR PRAYERS, BUT THEY STILL KEEP HURTING OUR HEARTS. HAVE WE REAHED SHAAM?"
"","MAAON KE GAUDIYON SE, LIPTE HUWE HAI BACHE. HAI HAATH RASSIYO(N) MEI, MAAO(N) KE AISE JHAKRE","THE CHILDREN ARE HUDDLED IN THEIR MOTHER’S LAPS. THE MOTHERS HANDS ARE TIED, HOW CAN THEY HOLD THEM?"
"","BACHHEY JO GIR RAHEY HAI, WO MARTE JAARAHAI HAI. KYA SHAAM AAGAYA HAI","THE CHILDREN WHICH ARE FALLING,\nTHEY KEEP ON DYING.\nHAVE WE REACHED SHAAM?"
"","'REHAN' QAYDIYO(N) ME, BARPA THA SHOR GIRYA. PALKO(N) SE KAR RAHI THI, MATAM JO BINTE ZAHRA","REHAN, WHY IS THERE SOUNDS OF WAILING WITHIN THE PRISONERS? THE DAUGHTER OF ZAHRA WAS DOING MATAM WITH HER EYES"
"","SAJAD NAWHA KHWAN HAI, NAWHA SUNA RAHE HAI. KYA SHAAM AAGAYA HAI?","SAJJAD IS THE POET AND HE IS RECITING A NAUHA. HAVE WE REACHED SHAAM?"
