"line id verse number","arabic text","english translation text"
"","THA YE BANU KA BAYAAN,\nKIS KO DOON AB LORIYAN","THIS WAS BANU’S LAMENTATION,\nFOR WHOM SHALL I SING LULLABIES"
"","DHOOND THI PHIRTI HAI MADAR,\nHAI MERA ASGHAR KAHAN","THE MOTHER KEPT SEARCHING PROFUSELY AND SAYING 'WHERE IS MY ASGHAR?'"
"","TERA JHOOLA JAL GAYA\nAI MERE TISHNA DAHAAN","YOU CRADLE IS NOW BURNT, O’ MY THIRSTY CHILD"
"","KHOON BHARA KURTA TERA,\nHAYE VO BHI CHIN GAYA","YOUR BLOOD- SOAKED SHIRT, EVEN THAT WAS PLUNDERED (BY THE ENEMY)"
"","AB JEEYUN KIS KE SAHARE\nPAAS MERE KYA RAHA","HOW CAN I LIVE WITHOUT A REMINDER OF YOU, WHAT DO I HAVE LEFT NOW?"
"","ZINDAGI HAI RAAEGAAN\nUMR BHAR HUN NOHA KHWAN","LIFE IS NOW WORTHLESS, I WILL MOURN FOR YOU THE REST OF MY DAYS"
"","HAYE WO NAZUK GALA\nTEEN DIN SAY KHUSHQ THA","THAT DELICATE NECK, PARCHED FOR THREE DAYS"
"","BHAR KAY MOJAY TEER NAY WO\nISS QADAR ZAKHMI KIYA","THE TIP OF THE FLYING ARROW, INFLICTED AN INJURY SO GRAVE"
"","LE SAKE NA HICHKIYAN\nTHAR HUWI KHOON SAY ZABAAN","BLOOD DROWNED THE TONGUE, YOU COULD NOT BREATHE YOUR LAST"
"","KHAALI JHOOLA DAIKH KER\nAI MERE NOOR-E-NAZAR","SEEING THE EMPTY CRADLE, O’ THE LIGHT OF MY EYES"
"","AANKH FARYRADI HAI MERI\nAUR ROTA HAI JIGAR","MY EYES TEAR UP, AND MY HEART WEEPS"
"","SO GAYE HO TUM KAHAN\nCHAYN PAAEY KAISAY MAA","WHERE ARE YOU SLEEPING, HOW CAN I FIND SOME SOLACE"
"","MEI MUSAFIR SHAAM KI\nKHATM HUD ARAAM KI","I AM A CAPTIVE GOING TO SHAAM, MY REST IS OVER"
"","QAID HO KER JAA RAHI HOON\nGARD HAI ALAAM KI","I AM GOING AS A PRISONER, THE DUST IS ALL THAT IS LEFT"
"","BANDH CHUKI HAI REESMA\nHUM KAHA AUR TUM KAHA","THE ROPES HAVE BOUND (OUR HANDS), WE ARE SO FAR APART, WHERE AM I AND WHERE ARE YOU"
"","MEER KYA REHAN KYA\nJIS NE YE NOHA SUNA","NOT ONLY MEER AND REHAN, BUT WHOEVER HEARS THIS NOHA"
"","ASHK ANKHON SE BAHA KER\nUS NE RO RO KER KAHA","CRIES TEARS OF BLOOD AND SAYS"
"","HAAY WO ASGHAR KI MAA\nUFF WO TERA IMTIHAAN","O THE MOTHER OF ASGHAR,\nYOU WENT THROUGH DIFFICULT TRIALS"
"","JAAM ASHKON KAY PEEYO\nAAJ KI SHAB SO RAHO","QUENCH YOUR THIRST WITH TEARS,\nFALL ASLEEP ON THIS NIGHT"
"","UMR LAG JAEY HUMARI\nTUM KO TUM JEETAY RAHO","MAY MY LIFE END SO YOU CAN LIVE ON"
"","TUM PE QURBAN MERI JAAN\nAI QARAAR-E-BE KASAAN","MY LIFE BE SACRIFICED FOR YOU,\nO MY BRAVE AND LONELY CHILD"
"","DHOOND THI PHIRTI HAI MADAR,\nHAI MERA ASGHAR KAHAN","YOUR MOTHER KEPT SEARCHING PROFUSELY AND SAYING 'WHERE IS MY ASGHAR?'"
"","DHOONDTHI PHIRTI HAI MADER\nHAI MERA ASGER KAHAN","THE MOTHER KEPT SEARCHING PROFUSELY AND SAYING 'WHERE IS MY ASGHAR?'"
"","ZINDAGI HAI RAAEGAAN UMR BHAR HOON NOHA KHAWAN","LIFE IS NOW WORTHLESS, I WILL MOURN FOR YOU THE REST OF MY DAYS"
"","THAR HUWI KHOON SAY ZABAAN LE SAKE NA HICHKIYAN","BLOOD DROWNED THE TONGUE, YOU COULD NOT BREATHE YOUR LAST"
"","MEER KYA REHAN KYA JIS NAY YE NOHA SUNNA","NOT ONLY MEER AND REHAN, BUY WHOEVER HEARS THIS NOHA"
"","JAAM ASHKON KAY PEEYO AAJ KI SHAB SO RAHO\nUMR LAG JAEY HUMARI TUM KO TUM JEETAY RAHO","HZT ALI ASGHAR AS (A MOTHERS LAMENTATION)\nQUENCH YOUR THIRST WITH TEARS, FALL ASLEEP ON THIS NIGHT\nMAY MY LIFE END SO YOU CAN LIVE ON"
"","TUM PE QURBAN MERI JAAN AEY QARAAR-E-BAY KASAAN\nDHOONDTHI PHIRTI HAI MADER HAI MERA ASGER KAHAN","HZT ALI ASGHAR AS (A MOTHERS LAMENTATION)\nMY LIFE BE SACRIFICED FOR YOU, O MY BRAVE AND LONELY CHILD\nYOUR MOTHER IS WANDERING HERE AND THERE SEARCHING, O’ WHERE IS MY ASGHAR"
