line id verse number,urdu transliteration text,english translation text
,Shehar e sarwar ki abo hawa aur hai,The atmosphere in the city of Husain (a.s.) is beyond explanation
,"Shehar e sarwar ki abo hawa aur hai,","The atmosphere in the city of Husain (a.s.) is beyond description,"
,Janaten aur hai Karbala aur hai,The heavens are heavenly but Karbala is something else
,"Mein hoon beemar jane de Karb O bala,","I AM ILL, LET ME GO TO KARBALA FOR MY CURE,"
,Aye Tabeeb Is Marz ki Dawa aur hai,O DOCTOR! THE CURE FOR THIS ILLNESS IS SOMETHING ELSE
,"Doosra koi aur Shabbir kaise mile,","HOW CAN YOU FIND ANOTHER BEING LIKE HUSSAIN (A.S.),"
,Kya Khuda ke ilawa Khuda aur hai,IT IS LIKE ASKING IF YOU CAN FIND ANOTHER GOD BESIDES ALLAH
,"Aye Mufasar Bata kya tamasha hai ye,","OH INTERPRETER, TELL ME WHAT IS THE PROBLEM,"
,Ayatein aur hai tarjuma aur hai,THE AAYATS OF THE QURAN ARE ONE THING BUT THE MEANING IS JUST SOMETHING ELSE
,"Doosro se Ali ka taqabul kya hai,","HOW CAN YOU COMPARE ALI TO ANYONE ELSE,"
,Hadse aur hai mojza aur hai,AN ACCIDENT IS ONE THING AND A MIRACLE IS SOMETHING ELSE
,"Hans ke dewar-e-Kaaba yeh kehne lagi,","THE DOOR OF THE KA’BA SMILED AND PROCLAIMED,"
,"Umme Haider tera rasta aur hai,","OH MOTHER OF ALI (A.S.), THE PLACE FOR YOU TO ENTER IS A DIFFERENT ONE"
,Boli Maryam Taqabul na karna mera,"MARYAM SAID, DO NOT COMPARE ME,"
,Kibriya ki qasam Fatima aur hai,"I SWEAR BY THE ALMIGHTY, FATIMA (S.A.) IS SOMETHING ELSE"
,"Hurmala aur Hur kaisai ek sath hon,","HOW CAN HURMALA AND HUR EVER BE COMPARED,"
,Lanatein aur hai martaba aur hai,BEING CURSED IS ONE THING AND ACHEIVING STATUS IS SOMETHING ELSE
