line id verse number,arabic text,english translation text
,"(YABNA JAFFAR, ABUR-RAZA) (ABUR-RAZA)\n(YA MUSA-E-KAZIM)\nTU SAATHWA MUSHKIL KHUSHA, NOOR-E-JANAAB-E-\nSAYYEDA","O son of Ja‘far, father of\nRaza—O Musa al-Kazim. You are the\nseventh remover of difficulties, the\nlight of the noble Lady."
,"TERE BABA IMAM-E-SADIQ HAI\nJISKE DAM SE HAI JAFFERI SARE\nDEEN-O-MAZHAB, SABAK IBADAT HAI\nHAM KO SAYE USI KE DAR SE MILE\nTU SAATHWA MUSHKIL KHUSHA, NOOR-E-JANAAB-E-\nSAYYEDA","Your father is Imam Sadiq; through him\nwe are all Ja‘fari. Faith, religion and\nworship are his teachings, and we\nfound shelter at his door. You\nare the seventh remover of difficulties,\nthe light of the noble Lady."
,"HAI QARAMAT-E-MURTAZA TUJHME\nSAA’ILO(N) KE BHI YE ATA TUJHME\nRAD JO HOTI NAHI KISI SURAT\nSAANS LETI HAI WO DUA TUJHME\nTU SAATHWA MUSHKIL KHUSHA, NOOR-E-JANAAB-E-\nSAYYEDA","The miracle of Murtaza is within you.\nYou grant even to those who ask,\nand the prayer that can never\nbe rejected lives within you. You\nare the seventh remover of difficulties,\nthe light of the noble Lady."
,"TUM BHI HAJAT RAWA-E-ALAM HO\nHAIDERIYYAT KA AZM-E-MAUQAM HO\nTUM DUA-E-JANAB-E-ZAHRA SE\nPURSADAR-E-JANAB-E-ADAM HO\nTU SAATHWA MUSHKIL KHUSHA, NOOR-E-JANAAB-E-\nSAYYEDA","You too fulfil the needs of the\nworld and hold the lofty station of\nHaider’s legacy. Through Lady Zahra’s prayer, you\nare a mourner from the time of\nAdam. You are the seventh remover of\ndifficulties, the light of the noble Lady."
,BAS JUNOON-O-JABAL JILAWATNI\nTERE PYAARO(N) KE TUJHSE HAI PAAYI\nKITNE DANA THE TERE DIWANE\nUMR BHAR TERI NOKRI KARLI,"Your lovers received from you the passion\nto bear imprisonment, hardship and exile. How\nmany wise souls became devoted to you\nand spent their lives in your service."
,"TU SAATHWA MUSHKIL KHUSHA, NOOR-E-JANAAB-E-\nSAYYEDA","You are the seventh remover of difficulties,\nthe light of the noble Lady."
,ALMADAD MAULA RAZA,"Help us, Maula Raza"
,"TERA BETA IMAM-E-ZAMIN HAI\nJISKE QABZE MEI RAAT HAI DIN HAI\nWO KHURASAAN KA HAI SHEHZADA\nHAR SHIFA USKE DAR PE MUMKIN HAI\nTU SAATHWA MUSHKIL KHUSHA, NOOR-E-JANAAB-E-\nSAYYEDA","Your son is Imam Zamin, in whose\nauthority are night and day. He is\nthe prince of Khurasan, and every cure\nis possible at his door. You\nare the seventh remover of difficulties,\nthe light of the noble Lady."
,"TERI DUKHTAR HAI QUM KI SHEHZAADI\nUSKI CHOWKAT PE DE SADA JO BHI\nJOLIYAA(N) APNI BHAR KE LAATA HAI\nGHAMSE MILTI HAI USKO AAZAADI\nTU SAATHWA MUSHKIL KHUSHA, NOOR-E-JANAAB-E-\nSAYYEDA","Your daughter is the princess of\nQum. Whoever calls at her threshold\nreturns with full hands and freedom\nfrom grief. You are the\nseventh remover of difficulties, the\nlight of the noble Lady."
,"TERE TABOOT KI WO TANHAAYI\nNA THA BETA GHAREEB NA BHAAYI\nCHAND MAZBOOR AYE UJRAT PAR\nLASH RASTE SE TERI UTHWAAYI\nTU SAATHWA MUSHKIL KHUSHA, NOOR-E-JANAAB-E-\nSAYYEDA","How lonely was your funeral bier: no\nson, no close relative, no brother. A\nfew labourers, compelled by wages, lifted\nyour body from the road. You\nare the seventh remover of difficulties,\nthe light of the noble Lady."
,"HAI NAJAF DUSHMANO(N) KE NARGHE MEI\nKARBALA SAMARA KE RASTE MEI\nBEKAFAN MOMINO(N) KE LAASHE HAI\nKUFR DAKHIL HUWA MADINE MEI\nTU SAATHWA MUSHKIL KHUSHA, NOOR-E-JANAAB-E-\nSAYYEDA","Najaf is surrounded by enemies; the roads\nto Karbala and Samarra are blocked. The\nbodies of believers lie without shrouds,\nand disbelief has entered Madina. You\nare the seventh remover of difficulties,\nthe light of the noble Lady."
,MAULA TU BHI DAR-E-HAWAAIJ HAI,"Maula, you too are the gateway through which needs are fulfilled."
,"TERA SIKKA JAHAA(N) WAA’IJ HAI\nHAM TO HAR IMTIHAA(N) SE GUZRENGE\nDENE WALA TUHI NATA’IJ HAI\nTU SAATHWA MUSHKIL KHUSHA, NOOR-E-JANAAB-E-\nSAYYEDA","Your authority is recognised throughout the world.\nWe will pass through every trial, for\nyou are the one who grants the\noutcome. You are the seventh remover of\ndifficulties, the light of the noble Lady."
,"TU BHI ""REHAN"" ISTIGHASA KAR\nKEHKE YA MUSA YA BIN-E-JAFAR\nNAUHA GOYI KARU QAYAMAT TAK\nAUR GHULAAMI KARU DAR-E-SHAH PAR\nTU SAATHWA MUSHKIL KHUSHA, NOOR-E-JANAAB-E-\nSAYYEDA","Rehan, seek help from him too, calling,\n‘O Musa, son of Ja‘far.’ May I\ncompose laments until the Day of Judgement\nand remain a servant at the King’s\ndoor. You are the seventh remover of\ndifficulties, the light of the noble Lady."
,(YABN-E-JAFFAR ABUR-RAZA) ABUR-RAZA,"O son of Ja‘far, father of Raza—father of Raza."
