"line id verse number","arabic text","english translation text"
"","HAYE ASGHAR KYA KAROON","O ASGHER! WHAT SHALL I DO"
"","HAYE ASGHAR KYA KAROON AY JANE MADAR KYA KAROON","O ASGHER! WHAT SHALL I DO,\nO LIFE OF YOUR MOTHER, WHAT SHALL I DO"
"","THI YE BANO KI FUGHAN DUNYA MAY REH KAR KYA KAROON\nMAUT NE BARBAD KARDALA MERA GHAR KYA KAROON","THE MOTHER USED TO CRY, WHAT SHALL I DO IN THIS WORLD\nDEATH HAS DESTROYED MY HOUSE, WHAT SHALL I DO"
"","HAI RAGE JAA KE LIYE HAR SANS NASHTAR KYA KAROON\nHASRATO KA DIL MAY EK BARPA HAI MEHSHAR KYA KAROON","FOR MY LIFE, EVERY BREATH IS DIFFICULT TO TAKE\nA MULTITUDE OF HOPES IS IN MY HEART, WHAT SHALL I DO"
"","AY MERE NOORE NAZAR TUMKO AGAR PAUNGI MAI\nDEKHLENA RAAT BHAR SEENE SE LIPTAUNGI MAI","O LIGHT OF MY EYES, IF I FOUND YOU\nWATCH HOW I WOULD HOLD YOU TO MY CHEST ALL NIGHT LONG"
"","SURK PHOOLON SE CHAMAN GULSHAN KE MEHKAUNGI MAI\nAB NA BHEJUNGI TUMHAY MAI GHAR SE BAAHAR KYA KAROON","I WILL MAKE THE GARDEN FRAGRANT WITH RED FLOWERS\nTHEN I WILL LET YOU LEAVE THE HOUSE, WHAT SHALL I DO"
"","TUM SAMAJHTE HO YAHAN SE APNE GHAR JAUNGI MAI\nCHOR KAR TANHA TUMHAY BETA KIDHAR JAUNGI MAI","YOU THINK THAT NOW FROM HERE I WILL GO HOME\nO SON! WHERE WILL I GO AFTER LEAVING YOU ALL ALONE"
"","QABR SE TAKRAKE SAR JANGAL MAY MAR JAUNGI MAI\nPHAYR LOON KYON NA GALE PAR APNE KHANJAR KYA KAROON","I WILL DIE IN THIS DESERT BY YOUR GRAVE\nWHY SHOULD I NOT TAKE MY OWN LIFE, WHAT SHALL I DO"
"","KUCH NAHI TUMKO KHABAR SHEH KA MAKAAN LOOTA GAYA\nSAYEDDE ABRAR KA RAN MAY MAKAAN LOOTA GAYA","YOU DO NOT KNOW YOUR FATHER'S HOUSE HAS BEEN LOOTED\nTHE HOUSE OF LEADER OF THE RIGHTEOUS HAS BEEN LOOTED"
"","DASHTE GHURBAT MAY HUSSAINI KAARWAN LOOTA GAYA\nAB NA AKBAR HAI NA ABBASE DILAWAR KYA KAROON","IN THE DESERT OF HELPLESSNESS, THE HUSSAINI CARAVAN HAS BEEN LOOTED\nNOR ALI AKBER NOR ABBAS IS THERE NOW, WHAT SHALL I DO"
"","MAUT NE KHUD LORIYA DI NEEND LAANE KE LIYE\nRAN MAY AAYE ZALZALE JHOOLA JHULANE KE LIYE","DEATH ITSELF SUNG LULLABIES TO PUT YOU TO SLEEP\nEARTHQUAKES CAME IN THE BATTLEFIELD TO ROCK YOUR CRADLE"
"","TUM CHALE MAIDAN MAY KAISE TEER KHANE KE LIYE\nAB TUMHAY TURBAT SE GEHWARE MAY LAAKAR KYA KAROON","HOW YOU WENT INTO THE BATTLEFIELD TO BE HIT BY AN ARROW\nNOW WHAT IS THE POINT OF BRINGING YOU FROM YOUR GRAVE TO THE CRADLE"
