line id verse number,urdu transliteration text,english translation text
,"Laashe Pe Zaynab Roke Pukaari,
Bhayya Humaara Koi Nahi
Marshia Translations | ISIJ of Toronto","At the dead body, Zainab cried and said 'Brother, we have no one!'"
,"Khaime Jhale Aur Sajjad Qaidi,
Kafni Tumhara Koi Nahi
Marshia Translations | ISIJ of Toronto","The tents burned and Sajjad is prisoner, There is no one to give you kafan"
,"Look at me Oh brother, Zahra’s daughter
Dekho Ay Bhai Me Zahra Ki Jaayi
Marshia Translations | ISIJ of Toronto",
,"Laashe Pe Aayi Hu Be Parda Hokar
Marshia Translations | ISIJ of Toronto",I have come to your body without hijab
,"Maara Gaya Hay Abbas Ghaazi,
Qassim Dulaara Koi Nahi
Marshia Translations | ISIJ of Toronto","Abbas has died, Qassim is no more"
,"Bekas Yatimo Ka Kafela, Bhai
Marshia Translations | ISIJ of Toronto","This caravan of helpless orphans, Oh Brother"
,"Tuhi Bataade Ke Kahaa Leke Jaawu
Marshia Translations | ISIJ of Toronto","You tell me, where I should take them?"
,"Laashe Sambhaalun Ya Kumbe Ko Dekhu, Gham Ka Kinaara Koi Nahi
Marshia Translations | ISIJ of Toronto","Should I take care of the dead bodies, or watch over the clan? There is no one to share my grief"
,"Wiraa Hay Khaime, Khaali Hay Jhula
Marshia Translations | ISIJ of Toronto","The tents are deserted,the cradle is empty"
,"Tishna Sakina Ke Qisse Ko Dekho
Marshia Translations | ISIJ of Toronto",Look at the story of your beloved Sakina
,"Gir Kar Huwi Chot Be Aas Beti,
Ab To Sahaara Koi Nahi
Marshia Translations | ISIJ of Toronto","Sakina is injured from falling, Now there is no support"
,"The youth’s dead body has come
Kariyal Jawaan Ki Mayyat Hay Aayi
Marshia Translations | ISIJ of Toronto",
,"Laila says, 'Oh my Akbar!'
Kehti Hay Laila ‘Ay Mere Akber’
Marshia Translations | ISIJ of Toronto",
,"Kiski Nazar Tumko Khaa Gayi Beta, Mera Sahaara Koi Nahi
Marshia Translations | ISIJ of Toronto","Whose evil look has done this to you son, I have no support"
,"Zahra’s daughter cried and said,
Boli Yun Ro Ke Zahra Ki Jaayi
Marshia Translations | ISIJ of Toronto",
,"Karbala Me Ghar Lut Gaya Hay
Marshia Translations | ISIJ of Toronto",My home has been robbed in Karbala
,"Maara Gaya Hay Ab Mera Bhaai, Waaris Hamara Koi Nahi
Marshia Translations | ISIJ of Toronto","Now my brother is dead, We have no one to protect us"
,"Zainab said, 'Aun and Muhammad'
Boli Ye Zainab ‘Auno Muhammad’
Marshia Translations | ISIJ of Toronto",
,"Wake up my beloved sons, your mother has come
Utho Ay Pyaaro Aayi Hay Maadar
Marshia Translations | ISIJ of Toronto",
,"Baate To Karlo, Bolo Ay Pyaaro,
Gham Ka Kinaara Koi Nahi
Marshia Translations | ISIJ of Toronto","Talk to me oh my beloveds, There is no one to share my grief"
,"Tiir Se Maara Asghare Besheer
Marshia Translations | ISIJ of Toronto",They killed Asghar with an arrow
,"Paani Na Paaya Haay Who Bachaa
Marshia Translations | ISIJ of Toronto",The child could not get any water
,"Aawo Ay Beta Khaali Hay Jhula,
Jhulne Waala Koi Nahi
Marshia Translations | ISIJ of Toronto","Come, oh son, the cradle is empty, there is no one to swing the cradle"
,"Gham Ki Kahaani Kisko Sunaawu
Marshia Translations | ISIJ of Toronto",Who should I tell this story of grief
,"Bhayya Hammara Tum Bhi Chale
Marshia Translations | ISIJ of Toronto","Oh my brother, you have left"
,"Sajjad Bimaar Hum Hay Qaidi, Waris Hamaara Koi Nahi
Marshia Translations | ISIJ of Toronto","Sajjad is sick and we are prisoners, We have no one to protect us"
,"Karbala Me Humko Bulaana
Marshia Translations | ISIJ of Toronto",Call us to Karbala
,"Aake Wahaa Hum Parle Ziyaarat
Marshia Translations | ISIJ of Toronto",We will come and recite Ziyarrat
,"Meri Tamanna Aawu Wahaa Me,
Iske Siwaa Koi Aarzoo Nahin
Marshia Translations | ISIJ of Toronto","My wish is to go there, other than this I have no other wish"
