Line id,Arabic text,Translation
,اَلسَّلاَمُ عَلَى مُحَمَّدٍ رَسُولِ اللَّهِ,"Peace be upon Muhammad, the Messenger of Allah"
,خَاتَمِ النَّبِيِّينَ,The Seal of the Prophets
,وَسَيِّدِ الْمُرْسَلِينَ,And the Master of the Messengers
,وَصَفْوَةِ رَبِّ الْعَالَمِيْنَ,And the Chosen One of the Lord of the Worlds
,أَمِينِ اللَّهِ عَلَى وَحْيِهِ,The Trustee of Allah upon His revelation
,وَعَزَائِمِ أَمْرِهِ,And His determined commands
,وَالْخَاتِمِ لِمَا سَبَقَ,The Seal of what has passed
,وَالْفَاتِحِ لِمَا اسْتُقْبِلَ,And the Opener of what is to come
,وَالْمُهَيْمِنِ عَلَى ذٰلِكَ كُلِّهِ,And the Guardian over all of that
,وَرَحْمَةُ اللَّهِ وَبَرَكَاتُهُ,And may Allah's mercy and blessings be upon him
,وَصَلَوَاتُهُ وَتَحِيَّاتُهُ,And His blessings and greetings
,اَلسَّلاَمُ عَلَى أَنْبِيَاءِ اللَّهِ وَرُسُلِهِ,Peace be upon the Prophets of Allah and His Messengers
,وَمَلَائِكَتِهِ الْمُقَرَّبِينَ,And His close angels
,وَعِبَادِهِ الصَّالِحِيْنَ,And His righteous servants
,اَلسَّلاَمُ عَلَيْكَ يَا أَمِيرَ الْمُؤْمِنِيْنَ,"Peace be upon you, O Commander of the Faithful"
,وَسَيِّدَ الْوَصِيِّينَ,And Master of the Successors
,وَوَارِثَ عِلْمِ النَّبِيِّينَ,And Inheritor of the knowledge of the Prophets
,وَوَلِيَّ رَبِّ الْعَالَمِيْنَ,And Guardian of the Lord of the Worlds
,وَمَوْلَايَ وَمَوْلَى الْمُؤْمِنِيْنَ,And my Master and the Master of the Believers
,وَرَحْمَةُ اللَّهِ وَبَرَكَاتُهُ,And may Allah's mercy and blessings be upon you
,اَلسَّلاَمُ عَلَيْكَ يَا مَوْلَايَ يَا أَمِيرَ الْمُؤْمِنِيْنَ,"Peace be upon you, O my Master, O Commander of the Faithful"
,يَا أَمِيْنَ اللَّهِ فِيْ أَرْضِهِ,O Trustee of Allah on His earth
,وَسَفِيرَهُ فِيْ خَلْقِهِ,And His ambassador among His creation
,وَحُجَّتَهُ الْبَالِغَةَ عَلَى عِبَادِهِ,And His conclusive proof over His servants
,اَلسَّلاَمُ عَلَيْكَ يَا دِيْنَ اللَّهِ الْقَوِيمَ,"Peace be upon you, O straight religion of Allah"
,وَصِرَاطَهُ الْمُسْتَقِيمَ,And His straight path
,اَلسَّلاَمُ عَلَيْكَ أَيُّهَا النَّبَأُ الْعَظِيمُ,"Peace be upon you, O Great News"
,اَلَّذِيْ هُمْ فِيْهِ مُخْتَلِفُونَ,About which they differ
,وَعَنْهُ يُسْأَلُونَ,And concerning which they will be questioned
,اَلسَّلاَمُ عَلَيْكَ يَا أَمِيرَ الْمُؤْمِنِيْنَ,"Peace be upon you, O Commander of the Faithful"
,آمَنْتَ بِاللَّهِ وَهُمْ مُشْرِكُونَ,You believed in Allah while they were polytheists
,وَصَدَّقْتَ بِالْحَقِّ وَهُمْ مُكَذِّبُونَ,And you confirmed the truth while they were deniers
,وَجَاهَدْتَ فِيْ اللَّهِ وَهُمْ مُحْجِمُوْنَ,And you strived in the way of Allah while they held back
,وَعَبَدْتَ اللَّهَ مُخْلِصًا لَهُ الدِّينَ,And you worshipped Allah with sincere devotion
,صَابِرًا مُحْتَسِبًا حَتَّىٰ أَتَاكَ الْيَقِينُ,Patient and hopeful of reward until certainty came to you
,أَلَا لَعْنَةُ اللَّهِ عَلَى الظَّالِمِيْنَ,"Indeed, may Allah's curse be upon the oppressors"
,اَلسَّلاَمُ عَلَيْكَ يَا سَيِّدَ الْمُسْلِمِيْنَ,"Peace be upon you, O Master of the Muslims"
,وَيَعْسُوبَ الْمُؤْمِنِيْنَ,And Leader of the Believers
,وَإِمَامَ الْمُتَّقِينَ,And Imam of the God-fearing
,وَقَائِدَ الْغُرِّ الْمُحَجَّلِينَ,And Leader of the resplendent ones with bright foreheads
,وَرَحْمَةُ اللَّهِ وَبَرَكَاتُهُ,And may Allah's mercy and blessings be upon you
,أَشْهَدُ أَنَّكَ أَخُوْ رَسُولِ اللَّهِ,I bear witness that you are the brother of the Messenger of Allah
,وَوَصِيُّهُ وَوَارِثُ عِلْمِهِ,And his successor and the inheritor of his knowledge
,وَأَمِيْنُهُ عَلَى شَرْعِهِ,And his trustee over his law
,وَخَلِيفَتُهُ فِيْ أُمَّتِهِ,And his caliph among his community
,وَأَوَّلُ مَنْ آمَنَ بِاللَّهِ,And the first to believe in Allah
,وَصَدَّقَ بِمَا أُنْزِلَ عَلَى نَبِيِّهِ,And confirm what was revealed to His Prophet
,وَأَشْهَدُ أَنَّهُ قَدْ بَلَّغَ عَنِ اللَّهِ مَا أَنْزَلَهُ فِيكَ,And I bear witness that he conveyed from Allah what was revealed concerning you
,فَصَدَعَ بِأَمْرِهِ,So he proclaimed His command
,وَأَوْجَبَ عَلَى أُمَّتِهِ فَرْضَ طَاعَتِكَ وَوِلَايَتِكَ,And made obligatory upon his community the duty of obeying you and your guardianship
,وَعَقَدَ عَلَيْهِمُ الْبَيْعَةَ لَكَ,And secured for them the pledge of allegiance to you
,وَجَعَلَكَ أَوْلَى بِالْمُؤْمِنِيْنَ مِنْ أَنْفُسِهِمْ,And made you closer to the believers than themselves
,كَمَا جَعَلَهُ اللَّهُ كَذٰلِكَ,As Allah had made him likewise
,ثُمَّ أَشْهَدَ اللَّهَ تَعَالَى عَلَيْهِمْ,Then he called upon Allah the Exalted as witness over them
,فَقَالَ أَلَسْتُ قَدْ بَلَّغْتُ,"And said: ""Have I not conveyed?"""
,فَقَالُوْا اَللَّهُمَّ بَلَىٰ,"They replied: ""O Allah, yes"""
,فَقَالَ اَللَّهُمَّ اشْهَدْ,"Then he said: ""O Allah, bear witness"""
,وَكَفَىٰ بِكَ شَهِيدًا وَحَاكِمًا بَيْنَ الْعِبَادِ,And You are sufficient as a witness and a judge between the servants
,فَلَعَنَ اللَّهُ جَاحِدَ وِلَايَتِكَ بَعْدَ الْاِقْرَارِ,May Allah curse those who deny your guardianship after acknowledging it
,وَنَاكِثَ عَهْدِكَ بَعْدَ الْمِيثَاقِ,And those who break their covenant with you after the pledge
