line id verse number,arabic text,english translation text
,"(CHALE AAO BABA, CHALE AAO BABA, CHALE AAO BABA)\nSUNAATI HAI MUJHKO PHUPHIJAAN KAHAANI, KARUN\nKYA MAGAR NEEND AATI NAHIN HAI\nCHALE AAO BABA, CHALE AAO BABA, MUJHE KHAAK PAR\nNEEND AATI NAHI HAI","(Come back, Father; come back, Father; come back, Father.)\nMy aunt tells me stories, but what can I do?\nSleep will not come.\nCome back, Father; come back, Father—upon the dust,\nI cannot sleep."
,"KALEJE MAI UTHTA HAI IK DARD AISA,",A pain rises within my heart—
,"KE JISKE LIYE NA DAWAA NA DILAASA\nMAI KAL TAK TOH SINE PE SOTI THI BABA,\nYEHI SOCH KAR, NEEND AATI NAHIN HAI","—a pain for which there is neither medicine nor comfort.\nUntil yesterday I slept upon your chest, Father.\nThinking of this, I cannot sleep."
,"HUWAA KYUN NA JAANE SITAMGAR ZAMAANA,",Why has the world become so cruel?
,"KABHI GURKHIYAN DE KABHI TAZIYANA\nYEHI KHAUF HAI JO SATATA HAI MUJHKO,\nISSI BAAT PAR, NEEND AATI NAHIN HAI","Sometimes it rebukes me; sometimes it strikes me with a whip.\nThis fear keeps tormenting me.\nBecause of it, I cannot sleep."
,"RULAATI HAI MUJHKO LAEENON KI BAATEIN,",The words of the accursed make me weep.
,"GUZARTI HAI AISE YATEEMI KI RAATEIN\nKAHIN SHIMR AAKAR TAMAACHE NA MAARE,\nHAI DIL MAI YEH DAR, NEEND AATI NAHIN HAI",Thus pass the nights of my orphanhood.\nI fear that Shimr may come and slap me again.\nThis fear fills my heart; I cannot sleep.
,"KHABAR HAI YEH MUJHKO KHATAA MERI KYA HAI,",I know what my supposed crime is—
,"YEHI NA KE JADD MERA MUSHKIL KUSHA HAI\nSUNAAYE WOH MUSHKIL KUSHA MUJHKO LORI,\nUNHE DO KHABAR, NEEND AATI NAHIN HAI",—only that my ancestor is the Remover of Difficulties.\nLet that Remover of Difficulties sing me a lullaby.\nTell him that I cannot sleep.
,"YATEEMI KA EHSAAS HII IK SITAM HAI,",The very feeling of being orphaned is an oppression.
,"MUSALSAL TARAPNE SE HOTON PE GHAM HAI\nAGAR AB YEH ZINDAAN HII GHAR HAI MERA,\nCHALE AAO GHAR, NEEND AATI NAHIN HAI","Continuous anguish has brought grief to my lips.\nIf this prison is now my home,\ncome home, Father; I cannot sleep."
,"KABHI MAINE SOCHA NAHIN THA YEH BABA,","I never imagined, Father—"
,"KE TUMSE BICHHADKAR BHI JEENA PADHEGA\nTUMHAARE BINA HII MUJHE AB HAI JEENA,\nYEHI JAANKAR, NEEND AATI NAHIN HAI","—that I would have to live after being separated from you.\nNow I must live without you.\nKnowing this, I cannot sleep."
,"PHUPHI JAA(N) SE AKSAR SUNA HAI YEH NAUHA,",I have often heard this lament from my aunt—
,"TADAPTA HAI BAN MAI SHAH-E-DEE(N) KA LAASHA\nMERE PAAS AAJAAO MAQTAL SE BABA,\nTUMHE BHI AGAR, NEEND AATI NAHIN HAI","—that the body of the King of Faith lies restless in the wilderness.\nCome to me from the battlefield, Father,\nif you too cannot sleep."
,"MASAAEB NE YEH HAAL SAB KA KIYA HAI,",Calamity has reduced everyone to this state—
,"KE DIN RAAT MATAM HAI AAHO BUKAA HAI\nPHUPHI HO KE SAJJAD HO YA SAKINA,\nKISI KO IDHAR, NEEND AATI NAHIN HAI","—day and night there is mourning, sighing, and weeping.\nWhether my aunt, Sajjad, or Sakina,\nno one here can sleep."
,"YEH ""IRFAN-O-MAZHAR"" KE DIL KI SADAA HAI,",This is the cry from the hearts of ‘Irfan and Mazhar’—
,"JAHA SHAHZADI KA MADFANN BANAA HAI\nHAI JISNE BHI DEKHA SITAM KA WO ZINDAAN,\nUSSE UMR BHAR, NEEND AATI NAHIN HAI",—at the place where the princess was buried.\nWhoever has seen that prison of cruelty\ncan never sleep peacefully again.
