line id verse number,urdu transliteration text,english translation text
,@HujjatELC,"AA JAA-O CHAND MERE, TERI PYAAS ME BUJHAA-OON COME MY DEAR, LET ME QUENCH YOUR THIRST English Transliteration"
,"AA JAA-O CHAND MERE, TERI PYAAS ME BUJHAA-OON, ASGHAR ME TERI MAA HOON
ASGHAR, I AM YOUR MOTHER
@HujjatELC","COME MY DEAR, LET ME QUENCH YOUR THIRST,"
,"MERE LAADLE KAHAN HO, SEENE TUMHE LAGAA-OON,ASGHAR ME TERI MAA HOO
ASGHAR, I AM YOUR MOTHER
@HujjatELC","WHERE ARE YOU MY DEAR, LET ME HUG YOU,"
,"BETA TUMHARA QATIL, MERE SAAMNE KHARRAA HE,JAANE KYUN HASS RAHAA HECHADAR BHI LUT GAYI HE, MUH KIS TARHAA CHUPAA-OON
@HujjatELC","MY SON, YOUR KILLER IS STANDING NEARBY,
SMILING FOR NO REASON,
MY VEIL HAS BEEN LOOTED, HOW DO I SEEK COVER"
,"TERE JHOOLE KO SAKINA, RO RO KE CHOOMTI HE, TUJHE GHAR ME DHOONDTI HE, TERI MOWT KI KHABAR ME, KAISE USSE SUNAA-OON
@HujjatELC","SAKINA IS CLINGING TO YOUR CRADLE, WEEPING & YEARNING FOR YOU,
LOOKING FOR YOU IN THE HOUSE,
HOW DO I CONVEY YOUR MARTYDOM NEWS TO HER"
,"MERI JAAN JAA RAHI HE, YAH SOCH SOCH ASGHAR,, ISS PHOOL SE GALE PAR,YEH TEER KAISE JHELA, BEHNO KO KYAA BATAWU
I AM LOSING MY MIND WONDERING,
@HujjatELC","HOW SUCH A DELICATE NECK OF YOURS, WITHSTOOD AN ARROW, WHAT SHALL I TELL YOUR SISTERS"
,"NEZE SE GHIR RAHA HE, NANNA SA SAR TUMHAARA, DIL ROTA HE HAMARA, MERE HAATH TO BANDHE HE, SAR KISTARHA UUTHAWUU
@HujjatELC","YOUR SMALL HEAD FALL FROM THE SPEAR-HEAD, IT BREAKS MY HEART,
MY HANDS ARE TIED, I CAN’T EVEN LIFT MY HEAD"
,"JHULE KE SAATH BETA, MERE HAATH JAL GAYE HE, ZALIM BHI HASS RAHE HAI,TERI AAKHRI NISHANI, HAYE KIS TARHA BACHAA-OON
@HujjatELC","MY HANDS BURNT, ALONG WITH YOUR CRADLE,
THE OPRESSORS KEEP MOCKING US,
HOW DO I PRESERVE YOUR FINAL SIGN"
,"JAB RAAT HOGI RAN ME, HO JAAYEGA ANDHERA, DARNA NAHI EH BETA,DAADI KAHENGI TUMSE, AA ME TUJHE SULAAOO
DON’T GET SCARED O’ SON,
@HujjatELC","WHEN NIGHT FALLS ON THE DESERT, IT WILL BE DARK,
YOUR GRNADMOTHER WILL CONSOLE & PUT YOU TO SLEEP"
,"TUM RAAT KO HAMESH, SUNTE THE MAA SE LORI, AB NEENDH AATI HOGI,PHIR GOWD ME LITAA KAR, NAADE ALI SUNAA-OON
@HujjatELC","EVERY NIGHT YOU WOULD LISTEN MY LULLABIES, NOW YOU MUST BE SLEEPY,
LET ME AGAIN PUT YOU IN MY LAP, AND RECITE NAD-E-ALI TO YOU"
