line id verse number,arabic text,english translation text
,,Ziyarat Nahiya
,اَلسَّلامُ عَلى آدَمَ صِفْوَةِ اللهِ مِنْ خَليقَتِهِ،,"Peace be upon Adam, the chosen one of Allah from among His creation."
,اَلسَّلامُ عَلى شَيْثٍ وَلِيِّ اللهِ وَ خِيَرَتِهِ،,"Peace be upon Seth (Shaith), the friend of Allah and His elite."
,اَلسَّلامُ عَلى إدْريسَ الْقائِمِ للهِِ بِحُجَّتِهِ،,"Peace be upon Enoch (Idris), who established (religion) on behalf of Allah by His authority."
,اَلسَّلامُ عَلى نُوحٍ الْمُجابِ في دَعْوَتِهِ،,"Peace be upon Noah (Nuh), whose invocation (for punishment) was answered."
,اَلسَّلامُ عَلى هُودٍ الْمَمْدُودِ مِنَ اللهِ بِمَعُونَتِهِ،,"Peace be upon Hud, who was assisted through Allah’s aid."
,اَلسَّلامُ عَلى صالِحِ الَّذي تَوَّجَهُ اللهُ بِكَرامَتِهِ،,"Peace be upon Salih, whom Allah crowned with His generosity."
,اَلسَّلامُ عَلى إبْراهيمَ الَّذي حَباهُ اللهُ بِخُلَّتِهِ،,"Peace be upon Abraham (Ibrahim), whom Allah endowed with His friendship."
,اَلسَّلامُ عَلى إسْماعيلَ الَّذي فَداهُ اللهُ بِذِبْحٍ عَظيمٍ مِنْ جَنَّتِهِ،,"Peace be upon Ishmael (Isma’il), whom Allah ransomed with a great sacrifice from His Heaven."
,اَلسَّلامُ عَلى إسْحاقَ الَّذي جَعَلَ اللهُ النُّبُوَّةَ في ذُرِّيَّتِهِ،,"Peace be upon Isaac (Is’haq), in whose progeny Allah placed prophethood."
,اَلسَّلامُ عَلى يَعْقُوبَ الَّذي رَدَّ اللهُ عَلَيْهِ بَصَرَهُ بِرَحْمَتِهِ،,"Peace be upon Jacob (Ya’qub), for whom Allah restored his sight by His mercy."
,اَلسَّلامُ عَلى يُوسُفَ الَّذي نَجّاهُ اللهُ مِنَ الْجُبِّ بِعَظَمَتِهِ،,"Peace be upon Joseph (Yusuf), whom Allah rescued from the well by His majesty."
,اَلسَّلامُ عَلى مُوسَى الَّذي فَلَقَ اللهُ الْبَحْرَ لَهُ بِقُدْرَتِهِ،,"Peace be upon Moses (Musa), the one for whom Allah split the sea with His Power."
,اَلسَّلامُ عَلى هارُونَ الَّذي خَصَّهُ اللهُ بِنُبُوَّتِهِ،,"Peace be upon Aaron (Harun), whom Allah distinguished with his prophethood."
,اَلسَّلامُ عَلى شُعَيْبِ الَّذي نَصَرَهُ اللهُ عَلى اُمَّتِهِ،,"Peace be upon Jethro (Shu’aib), whom Allah made victorious over his people."
,اَلسَّلامُ عَلى داوُدَ الَّذي تابَ اللهُ عَلَيْهِ مِنْ خَطيئَتِهِ،,"Peace be upon David (Dawud), to whom Allah turned (in mercy) after his mistake.[1]"
,اَلسَّلامُ عَلى سُلَيْمانَ الَّذي ذَلَّتْ لَهُ الْجِنُّ بِعِزَّتِهِ،,"Peace be upon Solomon (Sulaiman), for whom Allah made the Jinn subservient by His majesty."
,اَلسَّلامُ عَلى أيُّوبَ الَّذي شَفاهُ اللهُ مِنْ عِلَّتِهِ،,"Peace be upon Job (Ayyub), whom Allah cured after his (prolonged) illness."
,اَلسَّلامُ عَلى يُونُسَ الَّذي أنْجَزَ اللهُ لَهُ مَضْمُونَ عِدَتِهِ،,"Peace be upon Jonah (Yunus), for whom Allah fulfilled the purport of His promise."
,اَلسَّلامُ عَلى عُزَيْرِ الَّذي أحْياهُ اللهُ بَعْدَ ميتَتِهِ،,"Peace be upon Ezra (Uzair), whom Allah brought to life after his death."
,اَلسَّلامُ عَلى زَكَرِيّا الصّابِرِ في مِحْنَتِهِ،,"Peace be upon Zechariah (Zakariyya), who remained patient in his tribulations."
,اَلسَّلامُ عَلى يَحْيَى الَّذي أزْلَفَهُ اللهُ بِشَهادَتِهِ،,"Peace be upon John (Yahya), whom Allah drew near (his rank) by his martyrdom."
,اَلسَّلامُ عَلى عيسى رُوحِ اللهِ وَ كَلِمَتِهِ،,"Peace be upon Jesus (Isa), the spirit of Allah and His word."
,اَلسَّلامُ عَلى مُحَمَّدٍ حَبيبِ اللهِ وَ صِفْوَتِهِ،,"Peace be upon Muhammad, the beloved of Allah and His elite."
,اَلسَّلامُ عَلى أميرِالْمُؤْمِنينَ عَلِيِّ بْنِ أبي طالِبٍ الْمَخْصُوصِ بِاُخُوَّتِهِ،,"Peace be upon the Leader of the Faithful, Ali Ibn Abi Talib, who was exclusively selected for brotherhood to him (the Prophet (PBUH&HF))."
,اَلسَّلامُ عَلى فاطِمَةَ الزَّهْراءِ ابْنَتِهِ،,"Peace be upon Fatima al-Zahra, his daughter."
,اَلسَّلامُ عَلى أبي مُحَمَّدٍ الْحَسَنِ وَصِيِّ أبيهِ وَ خَليفَتِهِ،,"Peace be upon Abu Muhammad al-Hasan, the executor of (the will of) his father, and his successor."
,اَلسَّلامُ عَلَى الْحُسَيْنِ الَّذي سَمَحَتْ نَفْسُهُ بِمُهْجَتِهِ،,"Peace be upon al-Husain, who sacrificed himself up to the last drops of the blood of his heart."
,اَلسَّلامُ عَلى مَنْ أطاعَ اللهَ في سِرِّهِ وَ عَلانِيَتِهِ،,"Peace be upon him, who obeyed Allah secretly and openly."
,اَلسَّلامُ عَلى مَنْ جَعَلَ اللهُ الشِّفاءَ في تُرْبَتِهِ،,Peace be upon whom Allah placed a cure in the soil of his place (of martyrdom).
,اَلسَّلامُ عَلى مَنِ الإجابَةُ تَحْتَ قُبَّتِهِ،,Peace be upon the one under whose dome answer (to supplications) is guaranteed.
,اَلسَّلامُ عَلى مَنِ الأئِمَّةُ مِنْ ذُرِّيَّتِهِ،,Peace be upon the one in whose descendants are the Imams (after him).
,اَلسَّلامُ عَلَى ابْنِ خاتَمِ الأنْبِياءِ،,Peace be upon the son of the seal of the prophets.
,اَلسَّلامُ عَلَى ابْنِ سَيِّدِ الأوْصِياءِ،,Peace be upon the son of the chief of the executors.
,اَلسَّلامُ عَلَى ابْنِ فاطِمَةَ الزَّهْراءِ،,"Peace be upon the son of Fatima, the radiant."
,اَلسَّلامُ عَلَى ابْنِ خَديجَةَ الْكُبْرى،,"Peace be upon the son of Khadija, the great."
,اَلسَّلامُ عَلَى ابْنِ سِدْرَةِ الْمُنْتَهى،,Peace be upon the son of the lote-tree in the outermost boundary (of Heaven).[1]
,اَلسَّلامُ عَلَى ابْنِ جَنَّةِ الْمَأْوى،,Peace be upon the son of the Garden of refuge.
,اَلسَّلامُ عَلَى ابْنِ زَمْزَمَ وَ الصَّفا،,Peace be upon the son of Zamzam and al-Safaa.
