line id verse number,arabic text,english translation text
[90:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
Al Balad – The City"
[90:1],لَا أُقْسِمُ بِهَٰذَا الْبَلَدِ,"I swear by this town,
Al Balad – The City"
[90:2],وَأَنتَ حِلٌّ بِهَٰذَا الْبَلَدِ,"as you reside in this town;
Al Balad – The City"
[90:3],وَوَالِدٍ وَمَا وَلَدَ,"[and] by the father and him whom he begot:
Al Balad – The City"
[90:4],لَقَدْ خَلَقْنَا الْإِنسَانَ فِي كَبَدٍ,"certainly We created man in travail.
Al Balad – The City"
[90:5],أَيَحْسَبُ أَن لَّن يَقْدِرَ عَلَيْهِ أَحَدٌ,"Does he suppose that no one will ever have power over him?
Al Balad – The City"
[90:6],يَقُولُ أَهْلَكْتُ مَالًا لُّبَدًا,"He says, ‘I have squandered immense wealth.’
Al Balad – The City"
[90:7],أَيَحْسَبُ أَن لَّمْ يَرَهُ أَحَدٌ,"Does he suppose that no one sees him?
Al Balad – The City"
[90:8],أَلَمْ نَجْعَل لَّهُ عَيْنَيْنِ,"Have We not made for him two eyes,
Al Balad – The City"
[90:9],وَلِسَانًا وَشَفَتَيْنِ,"a tongue, and two lips,
Al Balad – The City"
[90:10],وَهَدَيْنَاهُ النَّجْدَيْنِ,"and shown him the two paths [of good and evil]?
Al Balad – The City"
[90:11],فَلَا اقْتَحَمَ الْعَقَبَةَ,"Yet he has not embarked upon the uphill task.
Al Balad – The City"
[90:12],وَمَا أَدْرَاكَ مَا الْعَقَبَةُ,"And what will show you what is the uphill task?
Al Balad – The City"
[90:13],فَكُّ رَقَبَةٍ,"[It is] the freeing of a slave,
Al Balad – The City"
[90:14],أَوْ إِطْعَامٌ فِي يَوْمٍ ذِي مَسْغَبَةٍ,"or feeding, during days of [general] starvation,
Al Balad – The City"
[90:15],يَتِيمًا ذَا مَقْرَبَةٍ,"an orphan among relatives
Al Balad – The City"
[90:16],أَوْ مِسْكِينًا ذَا مَتْرَبَةٍ,"or a needy man in desolation,
Al Balad – The City"
[90:17],ثُمَّ كَانَ مِنَ الَّذِينَ آمَنُوا وَتَوَاصَوْا بِالصَّبْرِ وَتَوَاصَوْا بِالْمَرْحَمَةِ,"while being one of those who have faith and enjoin one another to patience, and enjoin one another to compassion.
Al Balad – The City"
[90:18],أُولَٰئِكَ أَصْحَابُ الْمَيْمَنَةِ,"They are the People of the Right Hand.
Al Balad – The City"
[90:19],وَالَّذِينَ كَفَرُوا بِآيَاتِنَا هُمْ أَصْحَابُ الْمَشْأَمَةِ,"But those who defy Our signs, they are the People of the Left Hand.
Al Balad – The City"
[90:20],عَلَيْهِمْ نَارٌ مُّؤْصَدَةٌ,"A closed Fire will be [imposed] upon them.
Al Balad – The City"
