"line id verse number","arabic text","english translation text"
"","AAJA ASGHAR, AAJA ASGHAR","COME ASGHAR, COME ASGHAR"
"","ASGHAR MAIN TERI MAA HUN","ASGHAR, I AM YOUR MOTHER"
"","AA JAO CHAAND MERE, TERI PYAAS MEIN BUJHAAON","COME, MY MOON, LET ME QUENCH YOUR THIRST"
"","ASGHAR MAIN TERI MAA HUN","ASGHAR, I AM YOUR MOTHER"
"","MERE LAADLE KAHAN HO
SEENE TUMHAIN LAGAAON","WHERE ARE YOU, MY BELOVED CHILD
LET ME HOLD YOU TO MY CHEST"
"","ASGHAR MAIN TERI MAA HUN","ASGHAR, I AM YOUR MOTHER"
"","BETA TUMHARA QAATIL, MERE SAAMNE KHADA HAI
JAANE KYUN HANS RAHA HAI
CHAADAR BHI LUT CHUKI HAI
MUH KIS TARHAN CHUPAAON","MY SON, YOUR KILLER STANDS BEFORE ME
I DO NOT KNOW WHY HE IS LAUGHING
EVEN MY VEIL HAS BEEN PLUNDERED
HOW CAN I HIDE MY FACE"
"","ASGHAR MAIN TERI MAA HUN","ASGHAR, I AM YOUR MOTHER"
"","TERE JHOOLE KO SAKINA, RO RO KE CHOOMTI HAI
TUJHE GHAR MEIN DHOONDTI HAI
TERI MAUT KI KHABAR MAIN
KAISE USE SUNAAON","SAKINA KISSES YOUR CRADLE, WEEPING
SHE SEARCHES FOR YOU IN THE HOUSE
THE NEWS OF YOUR MARTYRDOM
HOW CAN I TELL HER"
"","ASGHAR MAIN TERI MAA HUN","ASGHAR, I AM YOUR MOTHER"
"","MERI JAAN JAA RAHI HAI, YE SOCH SOCH ASGHAR
IS PHOOL SE GALE PAR
YE TEER KAISE JHELA
BEHNON KO KYA BATAAON","MY LIFE IS SLIPPING AWAY, ASGHAR, THINKING
HOW THAT ARROW WAS BORNE
BY THIS FLOWER-LIKE THROAT
WHAT SHALL I TELL YOUR SISTERS"
"","ASGHAR MAIN TERI MAA HUN","ASGHAR, I AM YOUR MOTHER"
"","NAIZE SE GHIR RAHA HAI, NANNA SA SAR TUMHARA
DIL ROTA HAI HAMARA
MERE HAATH TO BANDHE HAIN
SAR KIS TARHAN UTHAAON","YOUR TINY HEAD IS SURROUNDED BY SPEARS
MY HEART WEEPS
MY HANDS ARE TIED
HOW CAN I LIFT YOUR HEAD"
"","ASGHAR MAIN TERI MAA HUN","ASGHAR, I AM YOUR MOTHER"
"","JHOOLE KE SAATH BETA, MERE HAATH JAL GAYE HAIN
ZAALIM BHI HANS RAHE HAIN
TERI AAKHRI NISHAANI
KIS TARHAN SE BACHAAON","MY SON, MY HANDS HAVE BURNT ALONG WITH YOUR CRADLE
THE OPPRESSORS ARE LAUGHING TOO
YOUR FINAL KEEPSAKE
HOW CAN I SAVE IT"
"","ASGHAR MAIN TERI MAA HUN","ASGHAR, I AM YOUR MOTHER"
"","JAB RAAT HOGI RAN MEIN, HO JAAYEGA ANDHERA
DARNA NAHI AY BETA
DAADI KAHAINGI TUM SE
AA MAIN TUJHE SULAAON","WHEN NIGHT FALLS ON THE BATTLEFIELD, DARKNESS WILL DESCEND
DO NOT BE AFRAID, MY SON
YOUR GRANDMOTHER WILL SAY TO YOU
COME, LET ME PUT YOU TO SLEEP"
"","ASGHAR MAIN TERI MAA HUN","ASGHAR, I AM YOUR MOTHER"
"","TUM RAAT KO HAMESHA, SUNTE THE MAA SE LORI
AB NEEND AATI HOGI
PHIR GODH MEIN LITA KAR
NAAD-E-ALI SUNAAON","EVERY NIGHT, YOU WOULD LISTEN TO YOUR MOTHER'S LULLABY
NOW SLEEP MUST BE COMING TO YOU
LET ME LAY YOU IN MY LAP AGAIN
AND RECITE NAAD-E-ALI TO YOU"
"","ASGHAR MAIN TERI MAA HUN","ASGHAR, I AM YOUR MOTHER"
