line id verse number,urdu transliteration text,english translation text
,,"Ali (a.s.) used to cry and say at the grave of Muhammad (s.a.w.)
Rokay Kehte They Yeh Turbat Pay Muhammad (s.a.w.) Ki Ali (a.s.)"
,,"Ali (a.s. Is Alive While Your Zahra (s.a.) Is No More
Haae Zindah Hai Ali (a.s.) Aap Ki Zahra (s.a.) Nah Rahi"
,"meri aankhon mein hai kyun aaj yeh pani sun lau, mere aaqa mere ashqo ki kahani sun lo","Why Are My Eyes Full Of Water? My Master, Listen To The Story Of My Tears"
,"hoke sharminda yahi kehti hai ashqo ki ladi
haae zindah hai Ali (as) aap ki Zahra (sa) nah rahi","Shyly, The Tears Say, Ali (a.s.) Is Alive While Your Zahra (s.a.) Is No More"
,"Fatima (sa) ne jo ebadaat se abad  rakha
usi hujray mein bukaa karta hai ab sannaata","What Fatima kept alive through her worship, That silence cries in Her place now.."
,"reh gayi hai wahan tasbeeh faqat Zahra (sa) ki
haae zindah hai Ali (as) aap ki Zahra (sa) nah rahi","Zahra’s Tasbeeh Is Still There,Ali (a.s.) Is Alive While Your Zahra (s.a.) Is No More"
,"kabhi Zainab (sa) ki duhaai kahin kulsoom (sa) ke bain
peet te sir hain Hasan (as) aur kabhi mazloom Hussain (as)","Sometimes in Zainab’s replies or in Kulsoom’s talks, They beat the head of Hasan (a.s.) and sometimes the oppressed Hussain (a.s.)"
,"mujh se bachon ki yeh haalat nahi dekhi jati
haae zindah hai Ali (as) aap ki Zahra (sa) nah rahi",I cannot see the children of Fatima in this state! Ali (a.s.) is alive while your Zahra (s.a.) is no more
,"jab se bachon naay sunaya mujhe darbaar ka haal
aaj taq hon unhi baton ko aziat se nidhaal","Since my children told me the state of the court, Those memories keep them fatigued even today"
,"bharay darbaar mein Zahra (sa) ko kaha hai jhooti
haae zindah hai Ali (as) aap ki Zahra (sa) nah rahi",Zahra (s.a.) has been called a liar in court full of people. Ali (a.s.) is alive while your Zahra (s.a.) is no more
,"kash Zahra (sa) ne yeh sadme nah uthaye hotay
kash yeh dard maray hissay mein aeye hotay",I wish Zahra had not borne such atrocities. I wish these pains would have come my way
,"kash Zahra (sa) ki jagah jaan chali jati meri
haae zindah hai Ali (as) aap ki Zahra (sa) nah rahi",I wish my life was taken instead of Zahra’s (s.a.). Ali (a.s.) is alive while your Zahra (s.a.) is no more
,darr tha mismaar nah kar dein kahin Qabar Zahra (sa) iss liye aap ke pehlu mein nahi dafnaya,"The house was destroyed, thankfully not her grave. That is why I didn’t bury her near you Muhammad (s.a.w.)"
,"mere sarkar samajh lena yeh majaboori meri
haae zindah hai Ali (as) aap ki Zahra (sa) nah rahi","My master, understand my situation. Ali (a.s.) is alive while your Zahra (s.a.) is no more"
,"qabar se aayi jo sarkar risaalat (saw)!ki sada
ab nah duhrana yeh jumla maray mazloom Ali (as)",A sound came from the Prophet’s (s.a.w) grave “Now don’t repeat this my oppressed Ali (a.s.)”
,haae zindah hai Ali (as) aap ki Zahra (sa) nah rahi,Ali (a.s.) Is Alive While You Zahra (s.a.) Is No More
,Shukr e rab e Zahra (sa),Thanks to the Lord of Zahra (s.a.)
