line id verse number,urdu transliteration text,english translation text
,"luti kin fizaon may aale payambar
na mai keh sakoonga na tum sun sakoge","In what surroundings was the Progeny of the Prophet destroyed?
Neither can I describe, nor can you hear"
,"hua kaise khaali ali ka bhara ghar
na mai keh sakoonga na tum sun sakoge","How was Ali’s bustling home emptied?
Neither can I describe, nor can you hear"
,"lagi dil pe barchi jigar moo ko aaya
chale kis ka laasha uthane ko sarwar","A lance pierced his heart, he writhed agony
sada aayi maqtal se baba kahan hoA voice arose from the slaughtering fields, Father where are you?
Whose corpse has Sarwar gone to retrieve?"
,,"Na Mai Keh Sakoonga Na Tum Sun SakogeNeither can I describe, nor can you hear"
,"Bada Shimr Khanjar Liye Kiski Jaanib
Pukaara Tha Maqtal Se Kis Ne Ali Ko
Nazar Aaya Sar Kiska Noke Sina Par","Towards whom did Shimr advance with a dagger?
Who had called upon Ali from the slaughtering fields?
Whose head was seen on the point of a spear?"
,,"Na Mai Keh Sakoonga Na Tum Sun SakogeNeither can I describe, nor can you hear"
,"Wo Khoonkhar Sehra Wo Wehshi Hawaein
That bloodied desert, those bestial winds
Wo Sunsaan Jangal Wo Maa Ki SadayeinThat eerie wilderness, and the mother’s calling
Kahan Sogaye Jaake Jhoole Se Asghar","Where have you fallen asleep, Asghar?"
,,"Na Mai Keh Sakoonga Na Tum Sun SakogeNeither can I describe, nor can you hear"
,"Kahoon Umme Laila Ka Mai Haal Kaise
Bayan Kya Ho Kulsoom Ki Bebasi Ka
Utaari Gayi Kaise Zainab Ki Chadar
How Was Zainab’s Veil Snatched","How Can I Describe The State Of Umm-e-laila?
What Can Be Said About The Helplessness Of Kulthoom?"
,,"Na Mai Keh Sakoonga Na Tum Sun SakogeNeither can I describe, nor can you hear"
,"sataya tha ghurbat may kisko shaki ne
kahoo jaise ruqsaar thay kiske zakhmi
tamachay lagata tha kisko sitamgar","Who had the wretch bullied in a foreign land?
How can I say, whose cheeks were wounded
Who was the cruel barbarian slapping?"
,,"Na Mai Keh Sakoonga Na Tum Sun SakogeNeither can I describe, nor can you hear"
,"Jo Guzri Hai Zainab Ke Qalbe Azeen Par
What befell the upon sorrowful heart of Zainab
Wo Bazaar O Darbare Koofe Ka Manzar","Viqar Aah Kis Dil Se Ab Mai BataunO Waqar, with what heart can I now narrate?
That sight of the Bazar and the Court of Kufa"
,,"Na Mai Keh Sakoonga Na Tum Sun SakogeNeither can I describe, nor can you hear"
