"line id verse number","arabic text","english translation text"
"","HAI KAUN JO PABAND-E-RASAN BOL RAHI HAI","WHO IS THIS, SPEAKING WHILE BOUND IN CHAINS?"
"","KIS KI HAI BETI, KIS KI BEHAN BOL RAHI HAI","WHOSE DAUGHTER IS THIS, WHOSE SISTER IS SPEAKING?"
"","KHAMOSH MUSALMAN SUNO SAR KO JHUKA KAR","O SILENT MUSLIMS, LISTEN WITH YOUR HEADS BOWED."
"","BAZAAR MEIN HAMSHEER-E-HASSAN BOL RAHI HAI","IN THE MARKETPLACE, THE SISTER OF HASAN IS SPEAKING."
"","HAI KAUN JO PABAND-E-RASAN BOL RAHI HAI","WHO IS THIS, SPEAKING WHILE BOUND IN CHAINS?"
"","KYUN KAR NA LARZAY QASR-E-YAZEEDI KHITAAB SE","HOW COULD YAZID’S PALACE NOT TREMBLE AT THIS ADDRESS,"
"","GHAZI HAI JIS KE DIL MEIN DAFAN BOL RAHI HAI","WHEN THE ONE SPEAKING CARRIES A BURIED WARRIOR WITHIN HER HEART?"
"","HAI KAUN JO PABAND-E-RASAN BOL RAHI HAI","WHO IS THIS, SPEAKING WHILE BOUND IN CHAINS?"
"","CHAADAR TO NAHIN ZAINAB-E-DILGEER KE SAR PAR","THERE IS NO VEIL UPON THE HEAD OF GRIEF-STRICKEN ZAINAB,"
"","KHAAK-E-SHIFA KA ORHAY KAFAN BOL RAHI HAI","SHE SPEAKS, WRAPPED INSTEAD IN THE DUST OF SHIFA AS HER SHROUD."
"","HAI KAUN JO PABAND-E-RASAN BOL RAHI HAI","WHO IS THIS, SPEAKING WHILE BOUND IN CHAINS?"
"","AISI JAGAH JAHAAN PAR AIK PARDAH-DAAR KA","IN A PLACE WHERE, FOR A MODEST WOMAN,"
"","HOTA HAI SAANS LENA GHUTAN BOL RAHI HAI","EVEN BREATHING BECOMES SUFFOCATION — SHE SPEAKS."
"","HAI KAUN JO PABAND-E-RASAN BOL RAHI HAI","WHO IS THIS, SPEAKING WHILE BOUND IN CHAINS?"
"","LEHJE KA JOSH DEKH KE HOTA NAHIN YAQEEN","SEEING THE FIRE IN HER TONE, ONE CANNOT BELIEVE"
"","KARB-O-BALA KI TASHNA-DAHAN BOL RAHI HAI","THAT THIS IS THE THIRSTY-LIPPED SURVIVOR OF KARBALA SPEAKING."
"","HAI KAUN JO PABAND-E-RASAN BOL RAHI HAI","WHO IS THIS, SPEAKING WHILE BOUND IN CHAINS?"
"","MASOOM SAKINA, TERE DAAMAN KI AAG KI","O INNOCENT SAKINA, OF THE FIRE WITHIN YOUR HEM,"
"","REHTI HAI SAATH JIS KE JALAN BOL RAHI HAI","THE BURNING THAT STAYS WITH HER — SHE SPEAKS."
"","HAI KAUN JO PABAND-E-RASAN BOL RAHI HAI","WHO IS THIS, SPEAKING WHILE BOUND IN CHAINS?"
"","AKBAR KO LAGI BARCHHI, KE ASGHAR KE TEER KI","WHETHER IT WAS AKBAR STRUCK BY THE SPEAR, OR ASGHAR BY THE ARROW,"
"","HOTI HAI JIS KE DIL MEIN CHUBHAN BOL RAHI HAI","THE ONE WHOSE HEART BEARS THOSE WOUNDS IS SPEAKING."
"","HAI KAUN JO PABAND-E-RASAN BOL RAHI HAI","WHO IS THIS, SPEAKING WHILE BOUND IN CHAINS?"
"","BAITAY HAIN KURSIYON PE KITNAY AARAAM SE","HOW COMFORTABLY THEY SIT UPON THEIR THRONES,"
"","HAI JIS KO KARBALA KI THAKAN BOL RAHI HAI","WHILE THE ONE EXHAUSTED BY KARBALA SPEAKS."
"","HAI KAUN JO PABAND-E-RASAN BOL RAHI HAI","WHO IS THIS, SPEAKING WHILE BOUND IN CHAINS?"
"","QURBAAN KAR KE BAITON KO BHAI HUSSAIN PAR","HAVING SACRIFICED HER SONS FOR HER BROTHER HUSSAIN,"
"","MAATHAY PE JIS KE THI NA SHIKAN BOL RAHI HAI","SHE WHOSE FOREHEAD NEVER SHOWED A CREASE OF COMPLAINT SPEAKS."
"","HAI KAUN JO PABAND-E-RASAN BOL RAHI HAI","WHO IS THIS, SPEAKING WHILE BOUND IN CHAINS?"
"","TAUQEER KAHA SHIMR NE TU KYUN KHAMOSH HAI","‘WHY ARE YOU SILENT?’ SHIMR MOCKINGLY ASKED,"
"","ABBAS DEKH TERI BEHN BOL RAHI HAI","O ABBAS, BEHOLD — YOUR SISTER IS SPEAKING."
"","HAI KAUN JO PABAND-E-RASAN BOL RAHI HAI","WHO IS THIS, SPEAKING WHILE BOUND IN CHAINS?"
